Piece No.	Cat. Suffix	Tr. No.	Title	Composer	Artist	Length	Category
No. 17	M03	Tr. 06	Clarinet Quintet in B minor, op.115. 3rd mvmt.	Brahms, Johannes	Wood Land Notes	4:57	Chamber
No. 18	M03	Tr. 07	Horn Trio in Eb major, op.40. 2nd mvmt.	Brahms, Johannes	Wood Land Notes	7:42	Chamber
No. 19	M04	Tr. 01	Piano Trio no.7 in Bb major, op.97 `Archduke'. 1st mvmt.	Beethoven, Ludwig van	Wood Land Notes	9:33	Chamber
No. 20	M04	Tr. 02	Piano Trio no.1 in B major, op.8. 1st mvmt.	Brahms, Johannes	Wood Land Notes	10:32	Chamber
No. 21	M04	Tr. 03	Piano Quintet in A major, op.32/D.667 `Trout'. 4th mvmt.	Schubert, Franz Peter	Wood Land Notes	8:10	Chamber
No. 22	M04	Tr. 04	Hungarian Dance no.5 in F# minor	Brahms, Johannes	Yuriko Furuichi & Yoshiko Kikuchi	2:25	Solo
No. 23	M04	 	Suite <Ma Mère l'Oye> (Mother Goose)	Ravel, Maurice	Yuriko Furuichi & Yoshiko Kikuchi	 	Solo
 	 	Tr. 05	1. Pavane de la Belle au Bois Dormant	 	 	1:20	 
 	 	Tr. 06	2. Petit Poucet	 	 	2:45	 
 	 	Tr. 07	3. Laideronnette, Impératrice des Pagodes	 	 	3:25	 
 	 	Tr. 08	4. Les Entretiens de la Belle et de la Bête	 	 	4:09	 
 	 	Tr. 09	5. Le Jardin Féerique	 	 	2:50	 
No. 24	M04	 	<The Anna Magdalena Bach Notebooks>	Bach, Johann Sebastian	Atsuko Watanabe	 	Solo
 	 	Tr. 10	1. Menuet in G major	 	 	1:26	 
 	 	Tr. 11	2. Menuet in G minor	 	 	1:29	 
 	 	Tr. 12	8. Musette in D major	 	 	0:52	 
No. 25	M04	 	The Well-Tempered Clavier, Book 1	Bach, Johann Sebastian	Atsuko Watanabe	 	Solo
 	 	Tr. 13	no.1 in C major BWV.846. Prelude	 	 	2:03	 
 	 	Tr. 14	ibid. Fugue	 	 	2:11	 
 	 	Tr. 15	no.2 in C minor BWV.847. Prelude	 	 	1:31	 
 	 	Tr. 16	ibid. Fugue	 	 	1:54	 
No. 26	M05	Tr. 01	Piano Sonata in A major, K.331/300i. 1st mvmt.	Mozart, Wolfgang Amadeus	Norio Shimizu	10:00	Solo
No. 27	M05	Tr. 02	Variations on `Ah Vous Dirai-je Maman', K.265/300e	Mozart, Wolfgang Amadeus	Yuriko Furuichi	7:27	Solo
No. 28	M05	Tr. 03	Piano Sonata no.23 in F minor, op.57 `Appasionata'. 1st mvmt.	Beethoven, Ludwig van	Sarasa Watanabe	9:50	Solo
No. 29	M05	Tr. 04	`Träumerei' from Suite <Kinderszenen>, op.15	Schumann, Roberto Alexander	Norio Shimizu	2:25	Solo
No. 30	M05	Tr. 05	Nocturne no.2 in Eb major, op.9-2	Chopin, Frédéric François	Yuriko Furuichi	4:02	Solo
No. 31	M05	Tr. 06	Etude in E major, op.10-3	Chopin, Frédéric François	Miki Narai	4:16	Solo
No. 32	M05	Tr. 07	Etude in F minor, op.25-2	Chopin, Frédéric François	Yuriko Furuichi	1:49	Solo
No. 33	M05	Tr. 08	Polonaise no.6 in Ab major `Héroïque' op.53	Chopin, Frédéric François	Mutsuko Tajima	6:45	Solo
No. 34	M05	Tr. 09	`La Campanella' from <Grandes Études de Paganini>	Liszt, Franz	Naoko Matsuoka	5:09	Solo
No. 35	M05	 	Three Gymnopédies	Satie, Erik	Norio Shimizu	 	Solo
 	 	Tr. 10	no.1	 	 	3:49	 
 	 	Tr. 11	no.2	 	 	3:01	 
 	 	Tr. 12	no.3	 	 	2:46	 
No. 36	M06	Tr. 01	6 Sonatas and Partitas for Unaccompanied Violin no.6 (Partita no.3) in E major, BWV.1006. 3. Gavotte en Rondeau	Bach, Johann Sebastian	Michi Mizutori	3:32	Solo
No. 37	M06	Tr. 02	Violin Sonata no.5 in F major, op.24 `Spring'. 3rd mvmt.	Beethoven, Ludwig van	Michi Mizutori	1:17	Solo
No. 38	M06	Tr. 03	24 Caprices, op.1 no.24 in A minor	Paganini, Niccolò	Michi Mizutori	5:21	Solo
No. 39	M06	Tr. 04	Violin Sonata in A major. 4th mvmt.	Franck, César	Michi Mizutori	6:44	Solo
No. 40	M06	Tr. 05	Meditation from <Thaïs>	Massenet, Jules	Michi Mizutori	5:06	Solo
No. 41	M06	Tr. 06	Suite for Unaccompanied Cello no.1 in G major, BWV 1007. 1. Prelude	Bach, Johann Sebastian	Hitoshi Miyazawa	2:39	Solo
No. 42	M06	Tr. 07	`Le Cygne' from Suite <Le Carnaval des Animaux>	Saint-Saëns, Camille	Hitoshi Miyazawa	2:31	Solo
No. 43	M06	Tr. 08	Sicilienne op.78	Fauré, Gabriel	Hidehiko Watase	4:09	Solo
No. 44	M06	Tr. 09	`The Flight of the Bumble Bee'	Rimski-Korsakov, Nikolay	Hidehiko Watase	1:03	Solo
No. 45	M06	Tr. 10	Air `Ombra mai fu' (Largo) from <Serse> (Xerxes)	Handel, George Frideric	Rihoko Yanagisawa	2:49	Vocal
No. 46	M06	Tr. 11	Air 14 (Queen of the Night's Air) `Der Hölle Rache kocht in meinem Herzen' from <Die Zauberflöte> (The Magic Flute), K.620	Mozart, Wolfgang Amadeus	Makiko Saito	3:08	Vocal
No. 47	M06	Tr. 12	`Ständchen' (Serenade) from <Schwanengesang>, D.957	Schubert, Franz Peter	Asuka Ueda	3:46	Vocal
No. 48	M06	Tr. 13	`Der Lindenbaum' from <Winterreise>, op.89/D.911	Schubert, Franz Peter	Tomihiko Kotaka	4:26	Vocal
No. 49	M06	Tr. 14	Air `La donna è mobile qual piuma al vento' from <Rigoletto>	Verdi, Giuseppe	Ryosuke Hagino	2:11	Vocal
No. 50	M06	Tr. 15	Micaela's Air `Je dis que rien ne m'épouvante' from <Carmen>	Bizet, Georges	Hiromi Tohyama	5:05	Vocal
