Piece No.	Cat. Suffix	Tr. No.	Title	Artist (Vocal)	Singer Information	Length	Tempo	Live Instruments Used	Drum Information
No. 23	M02	Tr. 07	SHAKE	MAPS	Vocal group (2 male)	3:21	132	Gt	Drum sequences
No. 24	M02	Tr. 08	it's all right	Hisayoshi Kazato	Male	4:00	130	 	Drum sequences
No. 25	M02	Tr. 09	tell me	Tomomi Ogata	Female	4:16	103	Gt	Drum sequences
No. 26	M02	Tr. 10	aozora sanpo michi	Tomoko Nitta	Female	3:27	158	Gt & Bs	Drum sequences
No. 27	M02	Tr. 11	stay	Shingo Katsuta	Male	5:18	124	Gt	Drum sequences
No. 28	M02	Tr. 12	Fly away	Tomomi Ogata	Female	4:10	109	Gt	Drum sequences
No. 29	M02	Tr. 13	One Two STEP	Kazuo Nishi	Male	3:35	103	Gt	Drum sequences
No. 30	M02	Tr. 14	syounen no omoi	Mitsuru Tanimoto	Male	3:16	104	 	Drum sequences
No. 31	M02	Tr. 15	Moving Round and Round	Yuuichi Nagayama	Male	4:10	129	 	Drum loops
No. 32	M02	Tr. 16	what could I do for you	Masaki Kuehara	Male	4:12	125	Gt	Drum sequences
No. 33	M03	Tr. 01	DREAM MAGIC	Hiromi Yoshii	Female	4:47	108	Gt & Bs	Drum sequences
No. 34	M03	Tr. 02	Hitoyo no yume	Hiromi Yoshii	Female	3:27	93	Gt & Bs & Dr	Live drums
No. 35	M03	Tr. 03	Midarana kami no moushigo	Hiromi Yoshii	Female	3:13	170	Gt & Bs & Dr	Live drums
No. 36	M03	Tr. 04	over and over	Kazuo Nishi	Male	5:16	135	Gt & Bs & Dr	Live drums
No. 37	M03	Tr. 05	Replica	Yoshinori Hatae	Male	3:59	184	Gt & Bs & Dr	Live drums
No. 38	M03	Tr. 06	1999	Kousuke Morimoto	Male	4:35	125	Gt & Bs & Dr	Live drums
No. 39	M03	Tr. 07	SPUL	Kousuke Morimoto	Male	4:48	73	Gt & Bs & HH	Drum sequences
No. 40	M03	Tr. 08	promise	Kazuo Nishi	Male	3:46	122	Gt & Bs	Drum sequences
No. 41	M03	Tr. 09	Non Stop Driving	Katsuyuki Ozawa	Male	2:50	200	Gt	Drum sequences
No. 42	M03	Tr. 10	Fly to the moon	Kousuke Morimoto	Male	4:08	125	Gt & Bs	Drum sequences
No. 43	M03	Tr. 11	Centimeter no kodoku	Kazuo Nishi	Male	3:24	163	Gt	Drum sequences
No. 44	M03	Tr. 12	REAL na 5 hun	Kousuke Morimoto	Male	4:06	124	Gt & Bs	Drum sequences
No. 45	M03	Tr. 13	Hajimari	Kousuke Morimoto	Male	3:42	77	Gt & Bs & Dr	Live drums
No. 46	M03	Tr. 14	Senro wa tsuzukuyo	Kousuke Morimoto	Male	3:19	168	Gt	Drum sequences
No. 47	M03	Tr. 15	Deaetakara	Satoshi Kumasaka	Male	3:30	94	Gt × 2 & Bs & Dr & Pf	Live drums
No. 48	M03	Tr. 16	Syodoubutsu	Hiroshi Sekiya	Male	4:29	86	Gt	Drum sequences
No. 49	M04	Tr. 01	Sekai no mikata	Hiroshi Sekiya	Male	4:35	100	Gt	Drum sequences
No. 50	M04	Tr. 02	Mrs. Maril	Rin	Female	3:15	114	Gt & Bs	Drum sequences
No. 51	M04	Tr. 03	Modoranai natsu	Hiroshi Sekiya	Male	6:07	104	Gt × 2 & Bs & Dr & Pf	Live drums
No. 52	M04	Tr. 04	Haru ga kurukara	Tomomi Ogata	Female	3:45	140	Gt	Drum sequences
No. 53	M04	Tr. 05	Ashita wa	Rin	Female	3:39	132	Gt & Bs	Drum sequences
No. 54	M04	Tr. 06	Harukana omoi	Rin	Female	3:42	125	Gt & Bs	Drum sequences
No. 55	M04	Tr. 07	First Love	Akiko Kaburagi	Female	4:09	74	Gt × 2 & Bs & Dr	Live drums
No. 56	M04	Tr. 08	I've got a mail	Masashi Hashimoto	Male	5:22	74	Gt & Bs	Drum loops
No. 57	M04	Tr. 09	Stay with me	Masashi Hashimoto	Male	4:27	70	 	Drum sequences
No. 58	M04	Tr. 10	Silver shoes	Rin	Female	3:45	118	 	Drum loops
No. 59	M04	Tr. 11	Tenshi no utatane	Rin	Female	3:25	98	Gt & Tp	Drum loops
No. 60	M04	Tr. 12	Kumorizora	Yuzu Iijima	Female	4:03	148	Gt × 2 & Bs	Drum loops
No. 61	M04	Tr. 13	FOR YOU	Kazuo Nishi	Male	4:43	121	Gt	Drum sequences
No. 62	M04	Tr. 14	Be with me Now	Rin	Female	3:11	81	Gt	Drum sequences
No. 63	M04	Tr. 15	Power of mind	Reiko Sato	Female	4:11	126	Gt & Bs & Dr	Live drums
No. 64	M04	Tr. 16	So Long	Kousuke Morimoto	Male	4:52	100	Gt & Bs	Drum sequences
No. 65	M05	Tr. 01	Tanabata	Makiko Hattori	Female	3:52	76	Gt & Bs & Dr	Live drums
No. 66	M05	Tr. 02	Mousugu natsu ga kuru	M & Y	Vocal group (2 female)	5:20	76	Gt & HH & Pf	Drum sequences
No. 67	M05	Tr. 03	Tokei no hayasa wa	Makiko Hattori	Female	4:10	88	Gt & Bs & Dr	Live drums
No. 68	M05	Tr. 04	Nichiyoubi	Makiko Hattori	Female	4:54	92	Gt & Bs & Dr	Live drums
No. 69	M05	Tr. 05	Gin no sora	Hiromi Yoshii	Female	6:00	62	Gt	Drum sequences
No. 70	M05	Tr. 06	Miageta sora wa	Tamako Matsuzaka	Female	4:06	104	Gt & Bs & Dr & Pf	Live drums
No. 71	M05	Tr. 07	Tsuki no youni	Hiromi Yoshii	Female	4:46	70	Gt & Pf	Without drums
No. 72	M05	Tr. 08	Heart to Hurt	Kousuke Morimoto	Male	3:21	76	Pf & Vc	Without drums
No. 73	M05	Tr. 09	Miss Maria	Kazuo Nishi	Male	3:16	144	Pf & Vc	Without drums
No. 74	M05	Tr. 10	Kimi no iro	Kousuke Morimoto	Male	3:14	94	Gt	Without drums
No. 75	M05	Tr. 11	Toui machi e	Hiromi Yoshii	Female	3:21	108	Pf	Without drums
No. 76	M05	Tr. 12	Chikai	Kousuke Morimoto	Male	3:50	70	Gt	Without drums
No. 77	M05	Tr. 13	Aishiteru	Makiko Hattori	Female	3:56	120	Gt & Pf	Without drums
No. 78	M05	Tr. 14	Kumo	Masaki Kuehara	Male	4:21	75	Gt	Without drums
No. 79	M05	Tr. 15	Together	Tomomi Ogata	Female	4:28	92	 	Without drums
No. 80	M05	Tr. 16	Sagashimono	Tomomi Ogata	Female	3:39	80	 	Without drums
No. 81	M06	Tr. 01	How Deep Is Your Love?	Donna Burke	Female [English]	3:50	90	Gt	Drum sequences
No. 82	M06	Tr. 02	Once in a life time	Shinya Iguchi	Male [English]	5:37	88	Gt & Dr	Live drums
No. 83	M06	Tr. 03	Doing That Thing	Jeff Manning	Male [English]	3:37	140	Gt	Drum sequences
No. 84	M06	Tr. 04	Someday	Shinya Iguchi	Male [English]	4:40	138	Gt & Dr	Live drums
No. 85	M06	Tr. 05	Waiting for the moment	Jeff Manning	Male [English]	3:30	98	Gt	Drum sequences
No. 86	M06	Tr. 06	Angel Baby	Betty	Female [English]	4:17	80	Gt	Drum sequences
No. 87	M06	Tr. 07	I think of you	Jeff Manning	Male [English]	4:51	90	Gt	Drum sequences
No. 88	M06	Tr. 08	Woman Like You	Shinya Iguchi	Male [English]	4:09	120	Gt & Dr	Live drums
No. 89	M06	Tr. 09	Life Is What You Make It To Be	Donna Burke	Female [English]	3:43	134	Gt	Drum sequences
No. 90	M06	Tr. 10	Don't Say Good bye	Shinya Iguchi	Male [English]	4:37	127	Gt & Dr	Live drums
No. 91	M07	Tr. 01	Change Of Heart	Donna Burke	Female [English]	3:43	124	Gt	Drum sequences
No. 92	M07	Tr. 02	I'll be there for you	Betty	Female [English]	3:40	134	 	Drum sequences
No. 93	M07	Tr. 03	Sweet Dreams	Donna Burke	Female [English]	4:18	90	Gt	Drum sequences
No. 94	M07	Tr. 04	Life	Betty	Female [English]	3:43	78	Gt	Drum sequences
No. 95	M07	Tr. 05	Feel	Jeff Manning	Male [English]	3:52	161	Gt & Bs & Dr	Live drums
No. 96	M07	Tr. 06	Weekend	Betty	Female [English]	4:40	130	 	Drum loops
No. 97	M07	Tr. 07	Don't Lie To Me	Donna Burke	Female [English]	4:03	91	Gt	Drum sequences
No. 98	M07	Tr. 08	31 BLUES	Jeff Manning	Male [English]	3:31	107	Gt & Bs & Dr	Live drums
No. 99	M07	Tr. 09	Once and For All	Shinya Iguchi	Male [English]	5:17	73	Gt	Without drums
No. 100	M07	Tr. 10	No Regrets	Shinya Iguchi	Male [English]	4:53	80	Gt	Drum loops
