id,billboard_id,track_title,track_performer,file_path,jams_path
billboard_32,0112,Letter Full of Tears,Gladys Knight & The Pips,../../partitions/billboard/raw/original/0112/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_32.jams
billboard_33,0320,Floy Joy,The Supremes,../../partitions/billboard/raw/original/0320/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_33.jams
billboard_34,1239,Will You Love Me Tomorrow,The Shirelles,../../partitions/billboard/raw/original/1239/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_34.jams
billboard_35,0911,Hold On,Wilson Phillips,../../partitions/billboard/raw/original/0911/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_35.jams
billboard_36,0549,Double Shot (Of My Baby's Love),Swingin' Medallions,../../partitions/billboard/raw/original/0549/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_36.jams
billboard_37,0929,Dirty Water,Rock And Hyde,../../partitions/billboard/raw/original/0929/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_37.jams
billboard_38,0115,Sweet Little Rock N' Roll,Chuck Berry,../../partitions/billboard/raw/original/0115/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_38.jams
billboard_39,0571,Quarter To Three,Gary U.S. Bonds,../../partitions/billboard/raw/original/0571/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_39.jams
billboard_40,0743,One Way or Another,Blondie,../../partitions/billboard/raw/original/0743/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_40.jams
billboard_41,0585,Too Weak To Fight,Clarence Carter,../../partitions/billboard/raw/original/0585/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_41.jams
billboard_42,1201,Three Times A Lady,The Commodores,../../partitions/billboard/raw/original/1201/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_42.jams
billboard_43,1033,Goin' Back,The Byrds,../../partitions/billboard/raw/original/1033/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_43.jams
billboard_44,0916,Promises,Eric Clapton,../../partitions/billboard/raw/original/0916/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_44.jams
billboard_45,0318,Wheels,The String-A-Longs,../../partitions/billboard/raw/original/0318/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_45.jams
billboard_46,0788,Last Date,Floyd Cramer,../../partitions/billboard/raw/original/0788/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_46.jams
billboard_47,0547,Almost by Being In Love,Michael Johnson,../../partitions/billboard/raw/original/0547/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_47.jams
billboard_48,0775,Walking In Memphis,Marc Cohn,../../partitions/billboard/raw/original/0775/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_48.jams
billboard_49,0123,Silent Night,Bing Crosby,../../partitions/billboard/raw/original/0123/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_49.jams
billboard_50,1237,Something About You,Level 42,../../partitions/billboard/raw/original/1237/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_50.jams
billboard_51,0781,On Broadway,The Drifters,../../partitions/billboard/raw/original/0781/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_51.jams
billboard_52,0920,Hot In The City,Billy Idol,../../partitions/billboard/raw/original/0920/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_52.jams
billboard_53,0578,Giving You the Best That I Got,Anita Baker,../../partitions/billboard/raw/original/0578/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_53.jams
billboard_54,1208,Even Now,Bob Seger,../../partitions/billboard/raw/original/1208/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_54.jams
billboard_55,1002,Freeze-Frame,J. Geils Band,../../partitions/billboard/raw/original/1002/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_55.jams
billboard_56,0124,Promises,Eric Clapton,../../partitions/billboard/raw/original/0124/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_56.jams
billboard_57,0772,Press,Paul McCartney,../../partitions/billboard/raw/original/0772/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_57.jams
billboard_58,0540,With You I'm Born Again,Billy Preston,../../partitions/billboard/raw/original/0540/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_58.jams
billboard_59,0329,Smoking Gun,The Robert Cray Band,../../partitions/billboard/raw/original/0329/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_59.jams
billboard_60,0927,"Out Of Sight, Out Of Mind",Little Anthony & The Imperials,../../partitions/billboard/raw/original/0927/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_60.jams
billboard_61,0944,Starting Over Again,Dolly Parton,../../partitions/billboard/raw/original/0944/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_61.jams
billboard_62,0711,Some Days Are Diamonds (Some Days Are Stone),John Denver,../../partitions/billboard/raw/original/0711/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_62.jams
billboard_63,0147,Wheels,The String-A-Longs,../../partitions/billboard/raw/original/0147/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_63.jams
billboard_64,1061,Best Of My Love,Eagles,../../partitions/billboard/raw/original/1061/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_64.jams
billboard_65,1253,All Alone Am I,Brenda Lee,../../partitions/billboard/raw/original/1253/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_65.jams
billboard_66,0381,Hocus Pocus,Focus,../../partitions/billboard/raw/original/0381/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_66.jams
billboard_67,1059,I've Been Everywhere,Hank Snow,../../partitions/billboard/raw/original/1059/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_67.jams
billboard_68,0729,Pretty In Pink,Psychedelic Furs,../../partitions/billboard/raw/original/0729/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_68.jams
billboard_69,0943,I Found A True Love,Wilson Pickett,../../partitions/billboard/raw/original/0943/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_69.jams
billboard_70,0386,I Really Don't Want To Know,Elvis Presley,../../partitions/billboard/raw/original/0386/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_70.jams
billboard_71,0988,If,Bread,../../partitions/billboard/raw/original/0988/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_71.jams
billboard_72,1066,My Hometown,Bruce Springsteen,../../partitions/billboard/raw/original/1066/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_72.jams
billboard_73,0372,Scarlet Fever,Kenny Rogers,../../partitions/billboard/raw/original/0372/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_73.jams
billboard_74,0140,La Grange,ZZ Top,../../partitions/billboard/raw/original/0140/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_74.jams
billboard_75,0524,Private Dancer,Tina Turner,../../partitions/billboard/raw/original/0524/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_75.jams
billboard_76,0716,Lady (You Bring Me Up),Commodores,../../partitions/billboard/raw/original/0716/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_76.jams
billboard_77,0981,Venus,Bananarama,../../partitions/billboard/raw/original/0981/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_77.jams
billboard_78,0149,Just When I Needed You Most,Randy Vanwarmer,../../partitions/billboard/raw/original/0149/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_78.jams
billboard_79,0182,Annie's Song,John Denver,../../partitions/billboard/raw/original/0182/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_79.jams
billboard_80,0512,Going To A Go-Go,The Rolling Stones,../../partitions/billboard/raw/original/0512/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_80.jams
billboard_81,0720,Rocky Mountain High,John Denver,../../partitions/billboard/raw/original/0720/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_81.jams
billboard_82,1296,White Wedding,Billy Idol,../../partitions/billboard/raw/original/1296/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_82.jams
billboard_83,0176,Chicago,25 or 6 to 4,../../partitions/billboard/raw/original/0176/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_83.jams
billboard_84,0986,You Make Me Feel Like Dancing,Leo Sayer,../../partitions/billboard/raw/original/0986/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_84.jams
billboard_85,1068,Never Can Say Goodbye,Gloria Gaynor,../../partitions/billboard/raw/original/1068/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_85.jams
billboard_86,0343,If I Were Your Woman,Gladys Night & The Pips,../../partitions/billboard/raw/original/0343/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_86.jams
billboard_87,0727,Eight Days A Week,The Beatles,../../partitions/billboard/raw/original/0727/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_87.jams
billboard_88,0515,Fool That I Am,Etta James,../../partitions/billboard/raw/original/0515/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_88.jams
billboard_89,0185,Just A Dream,Jimmy Clanton,../../partitions/billboard/raw/original/0185/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_89.jams
billboard_90,1265,If I Were A Carpenter,Bobby Darin,../../partitions/billboard/raw/original/1265/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_90.jams
billboard_91,0317,Dream Police,Cheap Trick,../../partitions/billboard/raw/original/0317/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_91.jams
billboard_92,0773,I Want To Walk You Home,Fats Domino,../../partitions/billboard/raw/original/0773/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_92.jams
billboard_93,0787,The Ways Of A Woman In Love,Johnny Cash,../../partitions/billboard/raw/original/0787/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_93.jams
billboard_94,1003,Baby Come Back,Player,../../partitions/billboard/raw/original/1003/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_94.jams
billboard_95,0926,Perfidia,The Ventures,../../partitions/billboard/raw/original/0926/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_95.jams
billboard_96,0780,Time Is On My Side,Rolling Stones,../../partitions/billboard/raw/original/0780/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_96.jams
billboard_97,0546,Disco Inferno,The Trammps,../../partitions/billboard/raw/original/0546/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_97.jams
billboard_98,0122,Have You Ever Loved Somebody,Freddie Jackson,../../partitions/billboard/raw/original/0122/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_98.jams
billboard_99,0310,The Other Guy,Little River Band,../../partitions/billboard/raw/original/0310/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_99.jams
billboard_100,0579,Heart Full of Soul,The Yardbirds,../../partitions/billboard/raw/original/0579/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_100.jams
billboard_101,1032,Down And Out In New York City,James Brown,../../partitions/billboard/raw/original/1032/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_101.jams
billboard_102,1200,Echoes Of Love,The Doobie Brothers,../../partitions/billboard/raw/original/1200/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_102.jams
billboard_103,0114,Sunshine of Your Love,Cream,../../partitions/billboard/raw/original/0114/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_103.jams
billboard_104,0928,Mony Mony,Tommy James,../../partitions/billboard/raw/original/0928/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_104.jams
billboard_105,0326,My Boy,Elvis Presley,../../partitions/billboard/raw/original/0326/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_105.jams
billboard_106,0742,The Power,Snap,../../partitions/billboard/raw/original/0742/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_106.jams
billboard_107,0570,Six Days On The Road,Dave Dudley,../../partitions/billboard/raw/original/0570/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_107.jams
billboard_108,0789,Hey Baby,Bruce Channel,../../partitions/billboard/raw/original/0789/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_108.jams
billboard_109,0319,I Want You,Marvin Gaye,../../partitions/billboard/raw/original/0319/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_109.jams
billboard_110,0917,A Love Song,Anne Murray,../../partitions/billboard/raw/original/0917/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_110.jams
billboard_111,0577,Let's work Together,Canned Heat,../../partitions/billboard/raw/original/0577/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_111.jams
billboard_112,0583,Amor,Ben E. King,../../partitions/billboard/raw/original/0583/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_112.jams
billboard_113,0910,Time For Me To Fly,REO Speedwagon,../../partitions/billboard/raw/original/0910/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_113.jams
billboard_114,0896,California Nights,Leslie Gore,../../partitions/billboard/raw/original/0896/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_114.jams
billboard_115,1178,I Want You Back,The Jacksons,../../partitions/billboard/raw/original/1178/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_115.jams
billboard_116,0608,Harden My Heart,Quarterflash,../../partitions/billboard/raw/original/0608/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_116.jams
billboard_117,1147,A Cowboy's Work Is Never Done,Sonny & Cher,../../partitions/billboard/raw/original/1147/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_117.jams
billboard_118,0095,Drivin' Wheel,Foghat,../../partitions/billboard/raw/original/0095/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_118.jams
billboard_119,0253,Love Came To Me,Dion,../../partitions/billboard/raw/original/0253/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_119.jams
billboard_120,0061,I Put A Spell On You,Creedence Clearwater Revival,../../partitions/billboard/raw/original/0061/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_120.jams
billboard_121,0637,Human Nature,Michael Jackson,../../partitions/billboard/raw/original/0637/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_121.jams
billboard_122,0865,Don't Talk To Strangers,Rick Springfield,../../partitions/billboard/raw/original/0865/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_122.jams
billboard_123,0059,Is That All There Is,Peggy Lee,../../partitions/billboard/raw/original/0059/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_123.jams
billboard_124,0891,Happy Jack,The Who,../../partitions/billboard/raw/original/0891/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_124.jams
billboard_125,0402,Last Kiss,J. Frank Wilson & The Cavaliers,../../partitions/billboard/raw/original/0402/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_125.jams
billboard_126,0066,Do You Love Me,The Contours,../../partitions/billboard/raw/original/0066/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_126.jams
billboard_127,0254,Sanctify Yourself,Simple Minds,../../partitions/billboard/raw/original/0254/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_127.jams
billboard_128,1140,Oh Father,Madonna,../../partitions/billboard/raw/original/1140/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_128.jams
billboard_129,0092,Shock the Monkey,Peter Gabriel,../../partitions/billboard/raw/original/0092/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_129.jams
billboard_130,0853,I Saw Her Standing There,The Beatles,../../partitions/billboard/raw/original/0853/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_130.jams
billboard_131,1149,Going To Chicago Blues,Count Basie,../../partitions/billboard/raw/original/1149/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_131.jams
billboard_132,0050,Love Me Do,Beatles,../../partitions/billboard/raw/original/0050/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_132.jams
billboard_133,1182,My World Fell Down,Sagittarius,../../partitions/billboard/raw/original/1182/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_133.jams
billboard_134,0606,I Love,Tom D Hall,../../partitions/billboard/raw/original/0606/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_134.jams
billboard_135,0434,Where Or When,Dion,../../partitions/billboard/raw/original/0434/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_135.jams
billboard_136,0898,I Can't Stand It,Eric Clapton,../../partitions/billboard/raw/original/0898/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_136.jams
billboard_137,0296,Lyin' Eyes,Eagles,../../partitions/billboard/raw/original/0296/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_137.jams
billboard_138,0068,Black Cars,Gino Vannelli,../../partitions/billboard/raw/original/0068/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_138.jams
billboard_139,0291,The Way You Do The Things You Do,Rita Coolidge,../../partitions/billboard/raw/original/0291/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_139.jams
billboard_140,1171,Night Moves,Bob Seger,../../partitions/billboard/raw/original/1171/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_140.jams
billboard_141,0433,If I Could Reach You,The 5th Dimension,../../partitions/billboard/raw/original/0433/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_141.jams
billboard_142,0601,I Can Help,Billy Swan,../../partitions/billboard/raw/original/0601/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_142.jams
billboard_143,0265,(Last Night) I Didn't Get To Sleep At All,The 5th Dimension,../../partitions/billboard/raw/original/0265/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_143.jams
billboard_144,1125,Treat Her Right,Roy Head,../../partitions/billboard/raw/original/1125/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_144.jams
billboard_145,0655,Sunrise,Eric Carmen,../../partitions/billboard/raw/original/0655/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_145.jams
billboard_146,0467,Little Bit O' Soul,The Music Explosion,../../partitions/billboard/raw/original/0467/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_146.jams
billboard_147,0003,I Don't mind,James Brown,../../partitions/billboard/raw/original/0003/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_147.jams
billboard_148,0231,"Knowing Me, Knowing You",ABBA,../../partitions/billboard/raw/original/0231/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_148.jams
billboard_149,0800,Magic Man,Heart,../../partitions/billboard/raw/original/0800/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_149.jams
billboard_150,0458,Addicted to Love,Robert Palmer,../../partitions/billboard/raw/original/0458/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_150.jams
billboard_151,0236,"Tonight, Tonight, Tonight",Genesis,../../partitions/billboard/raw/original/0236/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_151.jams
billboard_152,0004,You've got a Friend,Roberta Flack and Donny Hathaway,../../partitions/billboard/raw/original/0004/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_152.jams
billboard_153,0838,Surfin' Safari,The Beach Boys,../../partitions/billboard/raw/original/0838/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_153.jams
billboard_154,0494,I Don't Need You,Kenny Rogers,../../partitions/billboard/raw/original/0494/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_154.jams
billboard_155,0807,You Took The Words Right Out Of My Mouth,Meat Loaf,../../partitions/billboard/raw/original/0807/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_155.jams
billboard_156,0209,Already Gone,The Eagles,../../partitions/billboard/raw/original/0209/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_156.jams
billboard_157,0699,Heartaches,Bachman-Turner Overdrive,../../partitions/billboard/raw/original/0699/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_157.jams
billboard_158,0456,With a Little Luck,Paul McCartney,../../partitions/billboard/raw/original/0456/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_158.jams
billboard_159,0664,Looking For A Love,The J. Geils Band,../../partitions/billboard/raw/original/0664/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_159.jams
billboard_160,1114,Wichita Lineman,Glen Campbell,../../partitions/billboard/raw/original/1114/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_160.jams
billboard_161,0690,Queen Of Hearts,Juice Newton,../../partitions/billboard/raw/original/0690/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_161.jams
billboard_162,0831,Sexy Eyes,Dr. Hook,../../partitions/billboard/raw/original/0831/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_162.jams
billboard_163,0469,In Your Soul,Corey Hart,../../partitions/billboard/raw/original/0469/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_163.jams
billboard_164,1113,Lonely Weekends,Charlie Rich,../../partitions/billboard/raw/original/1113/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_164.jams
billboard_165,0035,Jimi Hendrix,Freedom,../../partitions/billboard/raw/original/0035/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_165.jams
billboard_166,0809,On The Wings Of A Nightingale,The Everly Brothers,../../partitions/billboard/raw/original/0809/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_166.jams
billboard_167,0207,Back in the High Life Again,Steve Winwood,../../partitions/billboard/raw/original/0207/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_167.jams
billboard_168,0663,He's so shy,Pointer Sisters,../../partitions/billboard/raw/original/0663/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_168.jams
billboard_169,0451,Got It Made,Crosby Stills and Nash,../../partitions/billboard/raw/original/0451/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_169.jams
billboard_170,0238,You Decorated My Life,Kenny Rogers,../../partitions/billboard/raw/original/0238/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_170.jams
billboard_171,0600,"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")",Baltimora,../../partitions/billboard/raw/original/0600/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_171.jams
billboard_172,0432,One Bad Apple,The Osmonds,../../partitions/billboard/raw/original/0432/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_172.jams
billboard_173,0056,I Love You So,Bobbi Martin,../../partitions/billboard/raw/original/0056/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_173.jams
billboard_174,0264,Dandelion,Rolling Stones,../../partitions/billboard/raw/original/0264/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_174.jams
billboard_175,1170,Summertime Blues,Blue Cheer,../../partitions/billboard/raw/original/1170/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_175.jams
billboard_176,0290,Long Dark Road,The Hollies,../../partitions/billboard/raw/original/0290/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_176.jams
billboard_177,1148,I Don t Want Your Love,Duran Duran,../../partitions/billboard/raw/original/1148/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_177.jams
billboard_178,0638,Out Of My Mind,Johnny Tillotson,../../partitions/billboard/raw/original/0638/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_178.jams
