SongID;PerformID;Duration;Key;Tuning
9;QU98;163.84;Gm;444.7
9;SC06;146.55;Am;439.6
9;TR99;169.56;Am;441.3
10;AL98;195.13;Bm;439.6
10;FI55;188.71;Bm;439.5
10;FI66;182.02;Bm;439.4
10;FI80;186.02;Bm;441.7
10;HU33;195.65;Bm;440.2
10;OL06;202.79;Bbm;440.5
10;QU98;195.49;Am;444.4
10;SC06;180.92;Bbm;439.4
10;TR99;200.57;Bm;441.4
11;AL98;249.91;G;439.5
11;FI55;243.33;G;439.6
11;FI66;240.04;G;439.3
11;FI80;248.03;G;441.8
11;HU33;254.58;G;440.5
11;OL06;258.75;G;440.3
11;QU98;268.2;F;444.1
11;SC06;237.64;G;439.2
11;TR99;273.56;G;441.4
12;AL98;156.47;Bm;439.5
12;FI55;170.69;Bm;439.5
12;FI66;173.04;Bm;439.4
12;FI80;166.87;Bm;441.8
12;HU33;158.34;Bm;440.3
12;OL06;160.67;Am;440.5
12;QU98;155.37;Am;444.3
12;SC06;147.04;Am;439.2
12;TR99;174.07;Bm;441.5
13;AL98;124.23;C;440.3
13;FI55;141.66;C;440.1
13;FI66;140.02;C;439.8
13;FI80;135.68;C;442.4
13;HU33;107.46;C;441.4
13;OL06;141.75;C;440.8
13;QU98;140.29;B;445.3
13;SC06;119.67;Db;439.9
13;TR99;146.2;C;441.9
14;AL98;200.44;Bm;439.6
14;FI55;195.45;Cm;439.6
14;FI66;183.01;Bm;439.4
14;FI80;194.04;Bm;441.6
14;HU33;183.21;Bm;440.4
14;OL06;187.48;Bbm;440.5
14;QU98;192.67;Am;444
14;SC06;149.34;Bbm;439.4
14;TR99;202.27;Bm;441.3
15;AL98;146.63;Bm;439.8
15;FI55;127.79;Cm;439.8
15;FI66;120.03;Bm;440.2
15;FI80;141.85;Bm;442.2
15;HU33;124.27;Bm;442.5
15;OL06;118.21;Bbm;440.7
15;QU98;116.31;Am;444.6
15;SC06;116.85;Bbm;439.5
15;TR99;119.97;Bm;441.8
16;AL98;144.53;D;439.7
16;FI55;151.98;D;439.7
16;FI66;135.03;D;439.8
16;FI80;122.36;D;442.3
16;HU33;138.48;D;440.5
16;OL06;146.65;Db;440.7
16;QU98;119;C;444.8
16;SC06;113.14;Db;439.4
16;TR99;129.47;D;442.2
17;AL98;216.04;D;439.6
17;FI55;184.35;D;439.7
17;FI66;182.02;D;439.8
17;FI80;217.71;D;442.2
17;HU33;197.74;D;441.3
17;OL06;186.93;D;440.8
17;QU98;163;C;444.8
17;SC06;190.54;C;439.3
17;TR99;195.49;D;441.7
18;AL98;49.13;Dm;439.9
18;FI55;53.81;Dm;439.9
18;FI66;52.04;Dm;439.9
18;FI80;53.68;Dm;442.2
18;HU33;47.65;Dm;441.1
18;OL06;55.75;Dm;440.7
18;QU98;49.96;Cm;445.1
18;SC06;44.07;Cm;439.6
18;TR99;53.04;Dm;442.2
19;AL98;93;A;439.7
19;FI55;96.11;A;440.1
19;FI66;94.02;A;440.1
19;FI80;95.35;A;442
19;HU33;70.91;A;440.5
19;OL06;99.35;G;440.6
19;QU98;75.47;G;445.2
19;SC06;73.61;G;439.4
19;TR99;78.56;A;441.8
20;AL98;260.96;Fm;439.6
20;FI55;258.74;Fm;439.6
20;FI66;248.03;Fm;439.3
20;FI80;245.37;Fm;442.1
20;HU33;242.74;Fm;440.9
20;OL06;244.61;Fm;440.5
20;QU98;267.67;Ebm;444.2
20;SC06;232.75;Fm;439.4
20;TR99;243.07;Fm;441.4
21;AL98;268.71;F;439.8
21;FI55;292.18;F;439.7
21;FI66;268.02;F;440
21;FI80;266.03;F;442
21;HU33;221.19;F;440.9
21;OL06;240.49;Eb;440.5
21;QU98;294.87;Eb;444.5
21;SC06;239.8;Eb;439.5
21;TR99;252.97;F;441.4
22;AL98;85.93;Gm;439.9
22;FI55;85.66;Gm;440
22;FI66;85.03;F#m;439.5
22;FI80;87.35;Gm;442.5
22;HU33;79.69;F#m;443.3
22;OL06;87.81;Fm;440.7
22;QU98;78.47;Fm;445.1
22;SC06;74.63;Fm;439.8
22;TR99;93.56;F#m;442.4
23;AL98;182.03;G;439.4
23;FI55;175.49;G;439.7
23;FI66;157.02;G;439.9
23;FI80;164.55;G;441.6
23;HU33;189.15;G;441.2
23;OL06;170.15;G;440.6
23;QU98;176.97;F;444
23;SC06;178.39;G;439.3
23;TR99;199.33;G;441.3
24;AL98;213.8;Gm;439.6
24;FI55;217.42;Gm;440.2
24;FI66;189.02;Gm;439.2
24;FI80;248.53;Gm;441.6
24;HU33;188.08;Gm;440.7
24;OL06;238.32;Gm;440.5
24;QU98;206.13;Fm;444.5
24;SC06;207.8;Gm;439.3
24;TR99;257.33;Gm;441.2
