chord,note_1,note_2,note_3,note_4,note_5,note_6,note_7,note_8,freq_1,freq_2,freq_3,freq_4,freq_5,freq_6,freq_7,freq_8
Ab:dim7/5,Ab,Cb,Ebb,Eb,Gbb,,,,415.3046975799451,493.8833012561241,587.3295358348153,622.253967444162,698.456462866008,,,
Eb:7,Eb,G,Bb,Db,,,,,311.1269837220808,391.99543598174927,466.1637615180899,554.3652619537443,,,,
Eb:min7/b3,Eb,Gb,Bb,Db,,,,,311.1269837220808,369.99442271163434,466.1637615180899,554.3652619537443,,,,
Ab:7,Ab,C,Eb,Gb,,,,,415.3046975799451,523.2511306011974,622.253967444162,739.988845423269,,,,
F:min7/5,F,Ab,C,Eb,,,,,349.2282314330038,415.3046975799451,523.2511306011974,622.253967444162,,,,
Gb:maj7/3,Gb,Bb,Db,F,,,,,369.99442271163434,466.1637615180899,554.3652619537443,698.456462866008,,,,
A:dim7,A,C,Eb,Gb,,,,,440.0,523.2511306011974,622.253967444162,739.988845423269,,,,
Ab:min6,Ab,Cb,Eb,F,,,,,415.3046975799451,493.8833012561241,622.253967444162,698.456462866008,,,,
G:dim7,G,Bb,Db,Fb,,,,,391.99543598174927,466.1637615180899,554.3652619537443,659.2551138257401,,,,
F#:min7,F#,A,C#,E,,,,,369.99442271163434,440.0,554.3652619537443,659.2551138257401,,,,
B:7,B,D#,F#,A,,,,,493.8833012561241,622.253967444162,739.988845423269,880.0000000000003,,,,
E:maj7,E,G#,B,D#,,,,,329.62755691286986,415.3046975799451,493.8833012561241,622.253967444162,,,,
G#:min7/5,G#,B,D#,F#,,,,,415.3046975799451,493.8833012561241,622.253967444162,739.988845423269,,,,
A:maj7/3,A,C#,E,G#,,,,,440.0,554.3652619537443,659.2551138257401,830.6093951598907,,,,
C:dim7,C,Eb,Gb,Bbb,,,,,261.6255653005985,311.1269837220808,369.99442271163434,440.0,,,,
E:maj7/5,E,G#,B,D#,,,,,329.62755691286986,415.3046975799451,493.8833012561241,622.253967444162,,,,
Bb:7,Bb,D,F,Ab,,,,,466.1637615180899,587.3295358348153,698.456462866008,830.6093951598907,,,,
Ab:7(b9),Ab,C,Eb,Gb,Bbb,,,,415.3046975799451,523.2511306011974,622.253967444162,739.988845423269,880.0000000000003,,,
Eb:sus4(b7),Eb,Ab,Bb,Db,,,,,311.1269837220808,415.3046975799451,466.1637615180899,554.3652619537443,,,,
Ab:maj6(9),Ab,C,Eb,F,Bb,,,,415.3046975799451,523.2511306011974,622.253967444162,698.456462866008,932.3275230361803,,,
C:maj7,C,E,G,B,,,,,261.6255653005985,329.62755691286986,391.99543598174927,493.8833012561241,,,,
A:min7,A,C,E,G,,,,,440.0,523.2511306011974,659.2551138257401,783.990871963499,,,,
D:min7,D,F,A,C,,,,,293.66476791740746,349.2282314330038,440.0,523.2511306011974,,,,
G:7,G,B,D,F,,,,,391.99543598174927,493.8833012561241,587.3295358348153,698.456462866008,,,,
G:min7,G,Bb,D,F,,,,,391.99543598174927,466.1637615180899,587.3295358348153,698.456462866008,,,,
C:7,C,E,G,Bb,,,,,261.6255653005985,329.62755691286986,391.99543598174927,466.1637615180899,,,,
F:maj7,F,A,C,E,,,,,349.2282314330038,440.0,523.2511306011974,659.2551138257401,,,,
Db:7,Db,F,Ab,Cb,,,,,277.182630976872,349.2282314330038,415.3046975799451,493.8833012561241,,,,
B:maj6,B,D#,F#,G#,,,,,493.8833012561241,622.253967444162,739.988845423269,830.6093951598907,,,,
B:min7,B,D,F#,A,,,,,493.8833012561241,587.3295358348153,739.988845423269,880.0000000000003,,,,
D:7,D,F#,A,C,,,,,293.66476791740746,369.99442271163434,440.0,523.2511306011974,,,,
C:maj,C,E,G,,,,,,261.6255653005985,329.62755691286986,391.99543598174927,,,,,
C:maj/b7,C,E,G,Bb,,,,,261.6255653005985,329.62755691286986,391.99543598174927,466.1637615180899,,,,
F:maj/3,F,A,C,,,,,,349.2282314330038,440.0,523.2511306011974,,,,,
C:maj/5,C,E,G,,,,,,261.6255653005985,329.62755691286986,391.99543598174927,,,,,
F:maj,F,A,C,,,,,,349.2282314330038,440.0,523.2511306011974,,,,,
G:maj,G,B,D,,,,,,391.99543598174927,493.8833012561241,587.3295358348153,,,,,
C:sus4,C,F,G,,,,,,261.6255653005985,349.2282314330038,391.99543598174927,,,,,
C:maj/3,C,E,G,,,,,,261.6255653005985,329.62755691286986,391.99543598174927,,,,,
G:maj/3,G,B,D,,,,,,391.99543598174927,493.8833012561241,587.3295358348153,,,,,
Bb:maj/5,Bb,D,F,,,,,,466.1637615180899,587.3295358348153,698.456462866008,,,,,
F:maj/5,F,A,C,,,,,,349.2282314330038,440.0,523.2511306011974,,,,,
A:min,A,C,E,,,,,,440.0,523.2511306011974,659.2551138257401,,,,,
A:min/b7,A,C,E,G,,,,,440.0,523.2511306011974,659.2551138257401,783.990871963499,,,,
D:maj/3,D,F#,A,,,,,,293.66476791740746,369.99442271163434,440.0,,,,,
F:maj/9,F,A,C,G,,,,,349.2282314330038,440.0,523.2511306011974,783.990871963499,,,,
D:min,D,F,A,,,,,,293.66476791740746,349.2282314330038,440.0,,,,,
G:sus4,G,C,D,,,,,,391.99543598174927,523.2511306011974,587.3295358348153,,,,,
A:7,A,C#,E,G,,,,,440.0,554.3652619537443,659.2551138257401,783.990871963499,,,,
G:9,G,B,D,F,A,,,,391.99543598174927,493.8833012561241,587.3295358348153,698.456462866008,880.0000000000003,,,
F:7,F,A,C,Eb,,,,,349.2282314330038,440.0,523.2511306011974,622.253967444162,,,,
E:min7,E,G,B,D,,,,,329.62755691286986,391.99543598174927,493.8833012561241,587.3295358348153,,,,
A:maj6,A,C#,E,F#,,,,,440.0,554.3652619537443,659.2551138257401,739.988845423269,,,,
F:min9(11),F,Ab,C,Eb,G,Bb,,,349.2282314330038,415.3046975799451,523.2511306011974,622.253967444162,783.990871963499,932.3275230361803,,
A:min9(11),A,C,E,G,B,D,,,440.0,523.2511306011974,659.2551138257401,783.990871963499,987.7666025122488,1174.659071669631,,
D:min9(11),D,F,A,C,E,G,,,293.66476791740746,349.2282314330038,440.0,523.2511306011974,659.2551138257401,783.990871963499,,
"A:aug(b7,#9)",A,C#,E#,G,B#,,,,440.0,554.3652619537443,698.456462866008,783.990871963499,1046.5022612023952,,,
Ab:maj7/9,Ab,C,Eb,G,Bb,,,,415.3046975799451,523.2511306011974,622.253967444162,783.990871963499,932.3275230361803,,,
Ab:aug(7)/9,Ab,C,E,G,Bb,,,,415.3046975799451,523.2511306011974,659.2551138257401,783.990871963499,932.3275230361803,,,
"Bb:9(11,13)",Bb,D,F,Ab,C,Eb,G,,466.1637615180899,587.3295358348153,698.456462866008,830.6093951598907,1046.5022612023952,1244.5079348883246,1567.9817439269987,
"Eb:sus4(b7,9,11,13)",Eb,Ab,Bb,Db,F,Ab,C,,311.1269837220808,415.3046975799451,466.1637615180899,554.3652619537443,698.456462866008,830.6093951598907,1046.5022612023952,
"Eb:aug(b7,#9)",Eb,G,B,Db,F#,,,,311.1269837220808,391.99543598174927,493.8833012561241,554.3652619537443,739.988845423269,,,
"Ab:sus4(b7,9,11,13)",Ab,Db,Eb,Gb,Bb,Db,F,,415.3046975799451,554.3652619537443,622.253967444162,739.988845423269,932.3275230361803,1108.7305239074892,1396.912925732017,
"Ab:sus4(b7,9,11,13)/3",Ab,C,Db,Eb,Gb,Bb,Db,F,415.3046975799451,523.2511306011974,554.3652619537443,622.253967444162,739.988845423269,932.3275230361803,1108.7305239074892,1396.912925732017
C:7/3,C,E,G,Bb,,,,,261.6255653005985,329.62755691286986,391.99543598174927,466.1637615180899,,,,
A:maj9(#11),A,C#,E,G#,B,D#,,,440.0,554.3652619537443,659.2551138257401,830.6093951598907,987.7666025122488,1244.5079348883246,,
F#:min,F#,A,C#,,,,,,369.99442271163434,440.0,554.3652619537443,,,,,
E:maj6,E,G#,B,C#,,,,,329.62755691286986,415.3046975799451,493.8833012561241,554.3652619537443,,,,
D:maj7,D,F#,A,C#,,,,,293.66476791740746,369.99442271163434,440.0,554.3652619537443,,,,
C#:min7,C#,E,G#,B,,,,,277.182630976872,329.62755691286986,415.3046975799451,493.8833012561241,,,,
F#:min9,F#,A,C#,E,G#,,,,369.99442271163434,440.0,554.3652619537443,659.2551138257401,830.6093951598907,,,
E:maj(9),E,G#,B,F#,,,,,329.62755691286986,415.3046975799451,493.8833012561241,739.988845423269,,,,
B:sus4,B,E,F#,,,,,,493.8833012561241,659.2551138257401,739.988845423269,,,,,
D:maj(9),D,F#,A,E,,,,,293.66476791740746,369.99442271163434,440.0,659.2551138257401,,,,
G:maj6,G,B,D,E,,,,,391.99543598174927,493.8833012561241,587.3295358348153,659.2551138257401,,,,
F:maj/b7,F,A,C,Eb,,,,,349.2282314330038,440.0,523.2511306011974,622.253967444162,,,,
D:7(#9),D,F#,A,C,E#,,,,293.66476791740746,369.99442271163434,440.0,523.2511306011974,698.456462866008,,,
G:9(#11),G,B,D,F,A,C#,,,391.99543598174927,493.8833012561241,587.3295358348153,698.456462866008,880.0000000000003,1108.7305239074892,,
"C:sus4(b7,9,11,13)",C,F,G,Bb,D,F,A,,261.6255653005985,349.2282314330038,391.99543598174927,466.1637615180899,587.3295358348153,698.456462866008,880.0000000000003,
F:maj6,F,A,C,D,,,,,349.2282314330038,440.0,523.2511306011974,587.3295358348153,,,,
"C:sus4(b7,9)",C,F,G,Bb,D,,,,261.6255653005985,349.2282314330038,391.99543598174927,466.1637615180899,587.3295358348153,,,
C:9,C,E,G,Bb,D,,,,261.6255653005985,329.62755691286986,391.99543598174927,466.1637615180899,587.3295358348153,,,
"F:sus4(b7,9,11,13)",F,Bb,C,Eb,G,Bb,D,,349.2282314330038,466.1637615180899,523.2511306011974,622.253967444162,783.990871963499,932.3275230361803,1174.659071669631,
F:9,F,A,C,Eb,G,,,,349.2282314330038,440.0,523.2511306011974,622.253967444162,783.990871963499,,,
Bb:maj7,Bb,D,F,A,,,,,466.1637615180899,587.3295358348153,698.456462866008,880.0000000000003,,,,
E:aug(b7),E,G#,B#,D,,,,,329.62755691286986,415.3046975799451,523.2511306011974,587.3295358348153,,,,
D:min9,D,F,A,C,E,,,,293.66476791740746,349.2282314330038,440.0,523.2511306011974,659.2551138257401,,,
"D:sus4(b7,9)",D,G,A,C,E,,,,293.66476791740746,391.99543598174927,440.0,523.2511306011974,659.2551138257401,,,
"F:sus4(b7,9)",F,Bb,C,Eb,G,,,,349.2282314330038,466.1637615180899,523.2511306011974,622.253967444162,783.990871963499,,,
"Bb:sus4(b7,9,11,13)",Bb,Eb,F,Ab,C,Eb,G,,466.1637615180899,622.253967444162,698.456462866008,830.6093951598907,1046.5022612023952,1244.5079348883246,1567.9817439269987,
"Eb:sus4(b7,9)",Eb,Ab,Bb,Db,F,,,,311.1269837220808,415.3046975799451,466.1637615180899,554.3652619537443,698.456462866008,,,
Eb:9,Eb,G,Bb,Db,F,,,,311.1269837220808,391.99543598174927,466.1637615180899,554.3652619537443,698.456462866008,,,
Bb:maj7/3,Bb,D,F,A,,,,,466.1637615180899,587.3295358348153,698.456462866008,880.0000000000003,,,,
Bb:min9,Bb,Db,F,Ab,C,,,,466.1637615180899,554.3652619537443,698.456462866008,830.6093951598907,1046.5022612023952,,,
D:min7/b7,D,F,A,C,,,,,293.66476791740746,349.2282314330038,440.0,523.2511306011974,,,,
"E:sus4(b7,9)",E,A,B,D,F#,,,,329.62755691286986,440.0,493.8833012561241,587.3295358348153,739.988845423269,,,
E:9,E,G#,B,D,F#,,,,329.62755691286986,415.3046975799451,493.8833012561241,587.3295358348153,739.988845423269,,,
A:maj7,A,C#,E,G#,,,,,440.0,554.3652619537443,659.2551138257401,830.6093951598907,,,,
Gb:maj7,Gb,Bb,Db,F,,,,,369.99442271163434,466.1637615180899,554.3652619537443,698.456462866008,,,,
Eb:maj7,Eb,G,Bb,D,,,,,311.1269837220808,391.99543598174927,466.1637615180899,587.3295358348153,,,,
"D:9(11,13)",D,F#,A,C,E,G,B,,293.66476791740746,369.99442271163434,440.0,523.2511306011974,659.2551138257401,783.990871963499,987.7666025122488,
D:min7/5,D,F,A,C,,,,,293.66476791740746,349.2282314330038,440.0,523.2511306011974,,,,
G:7/5,G,B,D,F,,,,,391.99543598174927,493.8833012561241,587.3295358348153,698.456462866008,,,,
G:maj9(#11),G,B,D,F#,A,C#,,,391.99543598174927,493.8833012561241,587.3295358348153,739.988845423269,880.0000000000003,1108.7305239074892,,
F:maj9(#11),F,A,C,E,G,B,,,349.2282314330038,440.0,523.2511306011974,659.2551138257401,783.990871963499,987.7666025122488,,
Eb:maj9(#11),Eb,G,Bb,D,F,A,,,311.1269837220808,391.99543598174927,466.1637615180899,587.3295358348153,698.456462866008,880.0000000000003,,
"Db:aug(b7,#9)",Db,F,A,Cb,E,,,,277.182630976872,349.2282314330038,440.0,493.8833012561241,659.2551138257401,,,
Bb:maj9(#11),Bb,D,F,A,C,E,,,466.1637615180899,587.3295358348153,698.456462866008,880.0000000000003,1046.5022612023952,1318.5102276514808,,
Eb:7(#9),Eb,G,Bb,Db,F#,,,,311.1269837220808,391.99543598174927,466.1637615180899,554.3652619537443,739.988845423269,,,
D:maj9(#11),D,F#,A,C#,E,G#,,,293.66476791740746,369.99442271163434,440.0,554.3652619537443,659.2551138257401,830.6093951598907,,
D:7(b9),D,F#,A,C,Eb,,,,293.66476791740746,369.99442271163434,440.0,523.2511306011974,622.253967444162,,,
Eb:maj6(9),Eb,G,Bb,C,F,,,,311.1269837220808,391.99543598174927,466.1637615180899,523.2511306011974,698.456462866008,,,
B:maj7,B,D#,F#,A#,,,,,493.8833012561241,622.253967444162,739.988845423269,932.3275230361803,,,,
Bb:7(#9),Bb,D,F,Ab,C#,,,,466.1637615180899,587.3295358348153,698.456462866008,830.6093951598907,1108.7305239074892,,,
E:maj/b1,Eb,E,G#,B,,,,,311.1269837220808,329.62755691286986,415.3046975799451,493.8833012561241,,,,
D:maj/b9,D,F#,A,Eb,,,,,293.66476791740746,369.99442271163434,440.0,622.253967444162,,,,
G:7(#9),G,B,D,F,A#,,,,391.99543598174927,493.8833012561241,587.3295358348153,698.456462866008,932.3275230361803,,,
G:dim,G,Bb,Db,,,,,,391.99543598174927,466.1637615180899,554.3652619537443,,,,,
G:maj7,G,B,D,F#,,,,,391.99543598174927,493.8833012561241,587.3295358348153,739.988845423269,,,,
"B:9(11,b13)",B,D#,F#,A,C#,E,G,,493.8833012561241,622.253967444162,739.988845423269,880.0000000000003,1108.7305239074892,1318.5102276514808,1567.9817439269987,
C#:dim7,C#,E,G,Bb,,,,,277.182630976872,329.62755691286986,391.99543598174927,466.1637615180899,,,,
A:9(#11),A,C#,E,G,B,D#,,,440.0,554.3652619537443,659.2551138257401,783.990871963499,987.7666025122488,1244.5079348883246,,
F:aug(b7),F,A,C#,Eb,,,,,349.2282314330038,440.0,554.3652619537443,622.253967444162,,,,
"G:9(11,b13)",G,B,D,F,A,C,Eb,,391.99543598174927,493.8833012561241,587.3295358348153,698.456462866008,880.0000000000003,1046.5022612023952,1244.5079348883246,
Db:dim7,Db,Fb,Abb,Cbb,,,,,277.182630976872,329.62755691286986,391.99543598174927,466.1637615180899,,,,
G:7(b9),G,B,D,F,Ab,,,,391.99543598174927,493.8833012561241,587.3295358348153,698.456462866008,830.6093951598907,,,
Bb:maj6,Bb,D,F,G,,,,,466.1637615180899,587.3295358348153,698.456462866008,783.990871963499,,,,
Eb:min6,Eb,Gb,Bb,C,,,,,311.1269837220808,369.99442271163434,466.1637615180899,523.2511306011974,,,,
Eb:maj6,Eb,G,Bb,C,,,,,311.1269837220808,391.99543598174927,466.1637615180899,523.2511306011974,,,,
E:dim,E,G,Bb,,,,,,329.62755691286986,391.99543598174927,466.1637615180899,,,,,
C:min/4,C,Eb,F,G,,,,,261.6255653005985,311.1269837220808,349.2282314330038,391.99543598174927,,,,
C:7(#9),C,E,G,Bb,D#,,,,261.6255653005985,329.62755691286986,391.99543598174927,466.1637615180899,622.253967444162,,,
F:7(b9),F,A,C,Eb,Gb,,,,349.2282314330038,440.0,523.2511306011974,622.253967444162,739.988845423269,,,
"C:7(b9,11,b13)",C,E,G,Bb,Db,F,Ab,,261.6255653005985,329.62755691286986,391.99543598174927,466.1637615180899,554.3652619537443,698.456462866008,830.6093951598907,
C:7(b9),C,E,G,Bb,Db,,,,261.6255653005985,329.62755691286986,391.99543598174927,466.1637615180899,554.3652619537443,,,
"G:7(b9,11,b13)",G,B,D,F,Ab,C,Eb,,391.99543598174927,493.8833012561241,587.3295358348153,698.456462866008,830.6093951598907,1046.5022612023952,1244.5079348883246,
"C:(3,b5,b7,b9,b13)",C,E,Gb,Bb,Db,Ab,,,261.6255653005985,329.62755691286986,369.99442271163434,466.1637615180899,554.3652619537443,830.6093951598907,,
"C:9(11,b13)",C,E,G,Bb,D,F,Ab,,261.6255653005985,329.62755691286986,391.99543598174927,466.1637615180899,587.3295358348153,698.456462866008,830.6093951598907,
F:7(#9),F,A,C,Eb,G#,,,,349.2282314330038,440.0,523.2511306011974,622.253967444162,830.6093951598907,,,
F:min6,F,Ab,C,D,,,,,349.2282314330038,415.3046975799451,523.2511306011974,587.3295358348153,,,,
G:aug(b7),G,B,D#,F,,,,,391.99543598174927,493.8833012561241,622.253967444162,698.456462866008,,,,
Bb:min6,Bb,Db,F,G,,,,,466.1637615180899,554.3652619537443,698.456462866008,783.990871963499,,,,
C:aug(b7),C,E,G#,Bb,,,,,261.6255653005985,329.62755691286986,415.3046975799451,466.1637615180899,,,,
"D:9(11,b13)",D,F#,A,C,E,G,Bb,,293.66476791740746,369.99442271163434,440.0,523.2511306011974,659.2551138257401,783.990871963499,932.3275230361803,
C:min,C,Eb,G,,,,,,261.6255653005985,311.1269837220808,391.99543598174927,,,,,
G:min,G,Bb,D,,,,,,391.99543598174927,466.1637615180899,587.3295358348153,,,,,
F:min/b3,F,Ab,C,,,,,,349.2282314330038,415.3046975799451,523.2511306011974,,,,,
F#:dim,F#,A,C,,,,,,369.99442271163434,440.0,523.2511306011974,,,,,
Eb:maj7/3,Eb,G,Bb,D,,,,,311.1269837220808,391.99543598174927,466.1637615180899,587.3295358348153,,,,
Bb:aug(b7),Bb,D,F#,Ab,,,,,466.1637615180899,587.3295358348153,739.988845423269,830.6093951598907,,,,
Eb:maj7/5,Eb,G,Bb,D,,,,,311.1269837220808,391.99543598174927,466.1637615180899,587.3295358348153,,,,
Cb:7,Cb,Eb,Gb,Bbb,,,,,246.94165062806198,311.1269837220808,369.99442271163434,440.0,,,,
A:9,A,C#,E,G,B,,,,440.0,554.3652619537443,659.2551138257401,783.990871963499,987.7666025122488,,,
B:min,B,D,F#,,,,,,493.8833012561241,587.3295358348153,739.988845423269,,,,,
E:min,E,G,B,,,,,,329.62755691286986,391.99543598174927,493.8833012561241,,,,,
D#:dim7,D#,F#,A,C,,,,,311.1269837220808,369.99442271163434,440.0,523.2511306011974,,,,
E:min7/b7,E,G,B,D,,,,,329.62755691286986,391.99543598174927,493.8833012561241,587.3295358348153,,,,
C#:maj,C#,E#,G#,,,,,,277.182630976872,349.2282314330038,415.3046975799451,,,,,
F#:7,F#,A#,C#,E,,,,,369.99442271163434,466.1637615180899,554.3652619537443,659.2551138257401,,,,
"F#:9(11,b13)",F#,A#,C#,E,G#,B,D,,369.99442271163434,466.1637615180899,554.3652619537443,659.2551138257401,830.6093951598907,987.7666025122488,1174.659071669631,
G#:7,G#,B#,D#,F#,,,,,415.3046975799451,523.2511306011974,622.253967444162,739.988845423269,,,,
C#:7(b9),C#,E#,G#,B,D,,,,277.182630976872,349.2282314330038,415.3046975799451,493.8833012561241,587.3295358348153,,,
F#:maj7,F#,A#,C#,E#,,,,,369.99442271163434,466.1637615180899,554.3652619537443,698.456462866008,,,,
D#:min7,D#,F#,A#,C#,,,,,311.1269837220808,369.99442271163434,466.1637615180899,554.3652619537443,,,,
B:maj7/3,B,D#,F#,A#,,,,,493.8833012561241,622.253967444162,739.988845423269,932.3275230361803,,,,
C#:7,C#,E#,G#,B,,,,,277.182630976872,349.2282314330038,415.3046975799451,493.8833012561241,,,,
Eb:maj7/7,Eb,G,Bb,D,,,,,311.1269837220808,391.99543598174927,466.1637615180899,587.3295358348153,,,,
C:min7/b7,C,Eb,G,Bb,,,,,261.6255653005985,311.1269837220808,391.99543598174927,466.1637615180899,,,,
Ab:minmaj7,Ab,Cb,Eb,G,,,,,415.3046975799451,493.8833012561241,622.253967444162,783.990871963499,,,,
Ab:maj6,Ab,C,Eb,F,,,,,415.3046975799451,523.2511306011974,622.253967444162,698.456462866008,,,,
B:dim7,B,D,F,Ab,,,,,493.8833012561241,587.3295358348153,698.456462866008,830.6093951598907,,,,
Ab:maj6/3,Ab,C,Eb,F,,,,,415.3046975799451,523.2511306011974,622.253967444162,698.456462866008,,,,
F:min7/b7,F,Ab,C,Eb,,,,,349.2282314330038,415.3046975799451,523.2511306011974,622.253967444162,,,,
Fb:7,Fb,Ab,Cb,Ebb,,,,,329.62755691286986,415.3046975799451,493.8833012561241,587.3295358348153,,,,
Bb:sus4(b7),Bb,Eb,F,Ab,,,,,466.1637615180899,622.253967444162,698.456462866008,830.6093951598907,,,,
F:dim7,F,Ab,Cb,Ebb,,,,,349.2282314330038,415.3046975799451,493.8833012561241,587.3295358348153,,,,
"B:9(11,13)",B,D#,F#,A,C#,E,G#,,493.8833012561241,622.253967444162,739.988845423269,880.0000000000003,1108.7305239074892,1318.5102276514808,1661.218790319782,
E:maj9,E,G#,B,D#,F#,,,,329.62755691286986,415.3046975799451,493.8833012561241,622.253967444162,739.988845423269,,,
"Db:sus4(b7,9)",Db,Gb,Ab,Cb,Eb,,,,277.182630976872,369.99442271163434,415.3046975799451,493.8833012561241,622.253967444162,,,
"Bb:aug(b7,#9)",Bb,D,F#,Ab,C#,,,,466.1637615180899,587.3295358348153,739.988845423269,830.6093951598907,1108.7305239074892,,,
"C:9(#11,13)",C,E,G,Bb,D,F#,A,,261.6255653005985,329.62755691286986,391.99543598174927,466.1637615180899,587.3295358348153,739.988845423269,880.0000000000003,
"F:9(11,13)",F,A,C,Eb,G,Bb,D,,349.2282314330038,440.0,523.2511306011974,622.253967444162,783.990871963499,932.3275230361803,1174.659071669631,
"A:9(11,13)",A,C#,E,G,B,D,F#,,440.0,554.3652619537443,659.2551138257401,783.990871963499,987.7666025122488,1174.659071669631,1479.977690846539,
E:maj9(#11),E,G#,B,D#,F#,A#,,,329.62755691286986,415.3046975799451,493.8833012561241,622.253967444162,739.988845423269,932.3275230361803,,
Eb:minmaj7,Eb,Gb,Bb,D,,,,,311.1269837220808,369.99442271163434,466.1637615180899,587.3295358348153,,,,
A:aug(b7),A,C#,E#,G,,,,,440.0,554.3652619537443,698.456462866008,783.990871963499,,,,
Ab:min,Ab,Cb,Eb,,,,,,415.3046975799451,493.8833012561241,622.253967444162,,,,,
"Bb:9(11,b13)",Bb,D,F,Ab,C,Eb,Gb,,466.1637615180899,587.3295358348153,698.456462866008,830.6093951598907,1046.5022612023952,1244.5079348883246,1479.977690846539,
"F:aug(b7,#9)",F,A,C#,Eb,G#,,,,349.2282314330038,440.0,554.3652619537443,622.253967444162,830.6093951598907,,,
C:min(b6),C,Eb,G,Ab,,,,,261.6255653005985,311.1269837220808,391.99543598174927,415.3046975799451,,,,
C:min6,C,Eb,G,A,,,,,261.6255653005985,311.1269837220808,391.99543598174927,440.0,,,,
Bb:minmaj7,Bb,Db,F,A,,,,,466.1637615180899,554.3652619537443,698.456462866008,880.0000000000003,,,,
A:7(#9),A,C#,E,G,B#,,,,440.0,554.3652619537443,659.2551138257401,783.990871963499,1046.5022612023952,,,
D:min6,D,F,A,B,,,,,293.66476791740746,349.2282314330038,440.0,493.8833012561241,,,,
Db:min7,Db,Fb,Ab,Cb,,,,,277.182630976872,329.62755691286986,415.3046975799451,493.8833012561241,,,,
A:minmaj7,A,C,E,G#,,,,,440.0,523.2511306011974,659.2551138257401,830.6093951598907,,,,
