id,billboard_id,track_title,track_artist,youtube_url,file_path,jams_path
casd_12,783,Hot Child In The City,Nick Gilder,https://www.youtube.com/watch?v=tsE7W4RRdNg,../../partitions/chordify/raw/783.jams,../../partitions/chordify/choco/jams/casd_12.jams
casd_13,170,Twilight Zone,Golden Earring,https://www.youtube.com/watch?v=a1sf2CzEq0w,../../partitions/chordify/raw/170.jams,../../partitions/chordify/choco/jams/casd_13.jams
casd_14,849,Do You Love Me,The Contours,https://www.youtube.com/watch?v=3EoI-6lQFIE,../../partitions/chordify/raw/849.jams,../../partitions/chordify/choco/jams/casd_14.jams
casd_15,12,Lookin' For Love,Johnny Lee,https://www.youtube.com/watch?v=upYF91cJJ2g,../../partitions/chordify/raw/12.jams,../../partitions/chordify/choco/jams/casd_15.jams
casd_16,736,Do I Do,Stevie Wonder,https://www.youtube.com/watch?v=c6f6BOKXXxg,../../partitions/chordify/raw/736.jams,../../partitions/chordify/choco/jams/casd_16.jams
casd_17,1282,Crackerbox Palace,George Harrison,https://www.youtube.com/watch?v=icHU5zB5fLM,../../partitions/chordify/raw/1282.jams,../../partitions/chordify/choco/jams/casd_17.jams
casd_18,444,I Really Don't Want To Know,Elvis Presley,https://www.youtube.com/watch?v=bTYw6IJoI_Q,../../partitions/chordify/raw/444.jams,../../partitions/chordify/choco/jams/casd_18.jams
casd_19,517,All Those Years Ago,George Harrison,https://www.youtube.com/watch?v=85Smw33PKJA,../../partitions/chordify/raw/517.jams,../../partitions/chordify/choco/jams/casd_19.jams
casd_20,147,Wheels,The String-A-Longs,https://www.youtube.com/watch?v=2jwyJvibWlc,../../partitions/chordify/raw/147.jams,../../partitions/chordify/choco/jams/casd_20.jams
casd_21,995,Gloria,Laura Branigan,https://www.youtube.com/watch?v=355Fk8drgZE,../../partitions/chordify/raw/995.jams,../../partitions/chordify/choco/jams/casd_21.jams
casd_22,25,Chicago,Graham Nash,https://www.youtube.com/watch?v=fEFsBF1X1ow,../../partitions/chordify/raw/25.jams,../../partitions/chordify/choco/jams/casd_22.jams
casd_23,1235,For Ol' Times Sake,Elvis Presley,https://www.youtube.com/watch?v=6ZINvp6SEw4,../../partitions/chordify/raw/1235.jams,../../partitions/chordify/choco/jams/casd_23.jams
casd_24,332,Waiting On A Friend,The Rolling Stones,https://www.youtube.com/watch?v=MKLVmBOOqVU,../../partitions/chordify/raw/332.jams,../../partitions/chordify/choco/jams/casd_24.jams
casd_25,723,Maybe Tomorrow,Badfinger,https://www.youtube.com/watch?v=8f_pWy8f1mg,../../partitions/chordify/raw/723.jams,../../partitions/chordify/choco/jams/casd_25.jams
casd_26,236,"Tonight, Tonight, Tonight",Genesis,https://www.youtube.com/watch?v=mz7bqxeVgNw,../../partitions/chordify/raw/236.jams,../../partitions/chordify/choco/jams/casd_26.jams
casd_27,1239,Will You Love Me Tomorrow,The Shirelles,https://www.youtube.com/watch?v=cbxxkwBQk_o,../../partitions/chordify/raw/1239.jams,../../partitions/chordify/choco/jams/casd_27.jams
casd_28,430,I Want A New Drug,Huey Lewis,https://www.youtube.com/watch?v=3ZwQRCkKxNE,../../partitions/chordify/raw/430.jams,../../partitions/chordify/choco/jams/casd_28.jams
casd_29,92,Shock The Monkey,Peter Gabriel,https://www.youtube.com/watch?v=CnVf1ZoCJSo,../../partitions/chordify/raw/92.jams,../../partitions/chordify/choco/jams/casd_29.jams
casd_30,958,Miss You,The Rolling Stones,https://www.youtube.com/watch?v=uetJoJj0M88,../../partitions/chordify/raw/958.jams,../../partitions/chordify/choco/jams/casd_30.jams
casd_31,978,The Look Of Love,Isaac Hayes,https://www.youtube.com/watch?v=pHneYH4Isxg,../../partitions/chordify/raw/978.jams,../../partitions/chordify/choco/jams/casd_31.jams
casd_32,329,Smoking Gun,The Robert Cray Band,https://www.youtube.com/watch?v=2gQEDwjhaDE,../../partitions/chordify/raw/329.jams,../../partitions/chordify/choco/jams/casd_32.jams
casd_33,503,Good Vibrations,Marky Mark,https://www.youtube.com/watch?v=oDB06Shv8zY,../../partitions/chordify/raw/503.jams,../../partitions/chordify/choco/jams/casd_33.jams
casd_34,1218,Behind Closed Doors,Charlie Rich,https://www.youtube.com/watch?v=O3iEFfA4TmI,../../partitions/chordify/raw/1218.jams,../../partitions/chordify/choco/jams/casd_34.jams
casd_35,322,Bird Dog,The Everly Brothers,https://www.youtube.com/watch?v=I65PxlOlHA4,../../partitions/chordify/raw/322.jams,../../partitions/chordify/choco/jams/casd_35.jams
casd_36,1012,All This Time,Sting,https://www.youtube.com/watch?v=4LdUme7QZLY,../../partitions/chordify/raw/1012.jams,../../partitions/chordify/choco/jams/casd_36.jams
casd_37,709,Caught Up In The Rapture,Anita Baker,https://www.youtube.com/watch?v=wYYDaDPmqBs,../../partitions/chordify/raw/709.jams,../../partitions/chordify/choco/jams/casd_37.jams
casd_38,1225,I've Got A Tiger By The Tail,Buck Owens,https://www.youtube.com/watch?v=UGYE77y4qY4,../../partitions/chordify/raw/1225.jams,../../partitions/chordify/choco/jams/casd_38.jams
casd_39,969,Don't Ask Me Why,Billy Joel,https://www.youtube.com/watch?v=DQoDqAdoBkY,../../partitions/chordify/raw/969.jams,../../partitions/chordify/choco/jams/casd_39.jams
casd_40,591,The Long Run,Eagles,https://www.youtube.com/watch?v=DI_rkZIuHzw,../../partitions/chordify/raw/591.jams,../../partitions/chordify/choco/jams/casd_40.jams
casd_41,99,A Trick Of The Night,Bananarama,https://www.youtube.com/watch?v=Axv9_YEhu_Q,../../partitions/chordify/raw/99.jams,../../partitions/chordify/choco/jams/casd_41.jams
casd_42,987,Baby I'm Burnin',Dolly Parton,https://www.youtube.com/watch?v=nu6VbUAhs1M,../../partitions/chordify/raw/987.jams,../../partitions/chordify/choco/jams/casd_42.jams
casd_43,37,Foggy Mountain Breakdown,Flatt & Scruggs,https://www.youtube.com/watch?v=aNuqKB6H3Iw,../../partitions/chordify/raw/37.jams,../../partitions/chordify/choco/jams/casd_43.jams
casd_44,114,Sunshine Of Your Love,Cream,https://www.youtube.com/watch?v=zt51rITH3EA,../../partitions/chordify/raw/114.jams,../../partitions/chordify/choco/jams/casd_44.jams
casd_45,905,Teach Your Children,"Crosby, Stills & Nash",https://www.youtube.com/watch?v=EkaKwXddT_I,../../partitions/chordify/raw/905.jams,../../partitions/chordify/choco/jams/casd_45.jams
casd_46,769,All Through The Night,Cyndi Lauper,https://www.youtube.com/watch?v=ZONKoKIQ9RY,../../partitions/chordify/raw/769.jams,../../partitions/chordify/choco/jams/casd_46.jams
casd_47,159,Little Sister,Elvis Presley,https://www.youtube.com/watch?v=OSGGmOf_zdU,../../partitions/chordify/raw/159.jams,../../partitions/chordify/choco/jams/casd_47.jams
casd_48,765,Too Weak To Fight,Clarence Carter,https://www.youtube.com/watch?v=WVDSKaua0_U,../../partitions/chordify/raw/765.jams,../../partitions/chordify/choco/jams/casd_48.jams
casd_49,1212,Baby Don't Go,Sonny & Cher,https://www.youtube.com/watch?v=BjHSOzVU5j0,../../partitions/chordify/raw/1212.jams,../../partitions/chordify/choco/jams/casd_49.jams
