id,file_performer,file_title,file_track,file_release,file_release_year,file_path,jams_path
robbie-williams_22,Robbie Williams,Love Somebody,06,Escapology,2002,../../partitions/robbie-williams/raw/chordlabs/2002-Escapology/06-Love Somebody.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_22.jams
robbie-williams_23,Robbie Williams,Hot Fudge,12,Escapology,2002,../../partitions/robbie-williams/raw/chordlabs/2002-Escapology/12-Hot Fudge.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_23.jams
robbie-williams_24,Robbie Williams,Song 3,11,Escapology,2002,../../partitions/robbie-williams/raw/chordlabs/2002-Escapology/11-Song 3.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_24.jams
robbie-williams_25,Robbie Williams,Monsoon,04,Escapology,2002,../../partitions/robbie-williams/raw/chordlabs/2002-Escapology/04-Monsoon.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_25.jams
robbie-williams_26,Robbie Williams,Tripping,02,Intensive Care,2005,../../partitions/robbie-williams/raw/chordlabs/2005-Intensive Care/02-Tripping.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_26.jams
robbie-williams_27,Robbie Williams,Ghosts,01,Intensive Care,2005,../../partitions/robbie-williams/raw/chordlabs/2005-Intensive Care/01-Ghosts.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_27.jams
robbie-williams_28,Robbie Williams,King Of Bloke And Bird,12,Intensive Care,2005,../../partitions/robbie-williams/raw/chordlabs/2005-Intensive Care/12-King Of Bloke And Bird.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_28.jams
robbie-williams_29,Robbie Williams,Spread Your Wings,04,Intensive Care,2005,../../partitions/robbie-williams/raw/chordlabs/2005-Intensive Care/04-Spread Your Wings.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_29.jams
robbie-williams_30,Robbie Williams,Advertising Space,05,Intensive Care,2005,../../partitions/robbie-williams/raw/chordlabs/2005-Intensive Care/05-Advertising Space.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_30.jams
robbie-williams_31,Robbie Williams,Make Me Pure,03,Intensive Care,2005,../../partitions/robbie-williams/raw/chordlabs/2005-Intensive Care/03-Make Me Pure.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_31.jams
robbie-williams_32,Robbie Williams,The Trouble With Me,10,Intensive Care,2005,../../partitions/robbie-williams/raw/chordlabs/2005-Intensive Care/10-The Trouble With Me.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_32.jams
robbie-williams_33,Robbie Williams,Random Acts Of Kindness,09,Intensive Care,2005,../../partitions/robbie-williams/raw/chordlabs/2005-Intensive Care/09-Random Acts Of Kindness.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_33.jams
robbie-williams_34,Robbie Williams,Sin Sin Sin,08,Intensive Care,2005,../../partitions/robbie-williams/raw/chordlabs/2005-Intensive Care/08-Sin Sin Sin.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_34.jams
robbie-williams_35,Robbie Williams,A Place To Crash,11,Intensive Care,2005,../../partitions/robbie-williams/raw/chordlabs/2005-Intensive Care/11-A Place To Crash.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_35.jams
robbie-williams_36,Robbie Williams,Please Don't Die,06,Intensive Care,2005,../../partitions/robbie-williams/raw/chordlabs/2005-Intensive Care/06-Please Don't Die.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_36.jams
robbie-williams_37,Robbie Williams,Your Gay Friend,07,Intensive Care,2005,../../partitions/robbie-williams/raw/chordlabs/2005-Intensive Care/07-Your Gay Friend.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_37.jams
robbie-williams_38,Robbie Williams,Supreme,04,Sing When You're Winning,2000,../../partitions/robbie-williams/raw/chordlabs/2000-Sing When You're Winning/04-Supreme.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_38.jams
robbie-williams_39,Robbie Williams,If It's Hurting You,06,Sing When You're Winning,2000,../../partitions/robbie-williams/raw/chordlabs/2000-Sing When You're Winning/06-If It's Hurting You.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_39.jams
robbie-williams_40,Robbie Williams,Knutsford City Limits,09,Sing When You're Winning,2000,../../partitions/robbie-williams/raw/chordlabs/2000-Sing When You're Winning/09-Knutsford City Limits.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_40.jams
robbie-williams_41,Robbie Williams,Forever Texas,10,Sing When You're Winning,2000,../../partitions/robbie-williams/raw/chordlabs/2000-Sing When You're Winning/10-Forever Texas.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_41.jams
robbie-williams_42,Robbie Williams,Rock DJ,03,Sing When You're Winning,2000,../../partitions/robbie-williams/raw/chordlabs/2000-Sing When You're Winning/03-Rock DJ.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_42.jams
robbie-williams_43,Robbie Williams,By All Means Necessary,11,Sing When You're Winning,2000,../../partitions/robbie-williams/raw/chordlabs/2000-Sing When You're Winning/11-By All Means Necessary.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_43.jams
robbie-williams_44,Robbie Williams,The Road To Mandalay,12,Sing When You're Winning,2000,../../partitions/robbie-williams/raw/chordlabs/2000-Sing When You're Winning/12-The Road To Mandalay.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_44.jams
robbie-williams_45,Robbie Williams,Singing For The Lonely,07,Sing When You're Winning,2000,../../partitions/robbie-williams/raw/chordlabs/2000-Sing When You're Winning/07-Singing For The Lonely.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_45.jams
robbie-williams_46,Robbie Williams,Better Man,02,Sing When You're Winning,2000,../../partitions/robbie-williams/raw/chordlabs/2000-Sing When You're Winning/02-Better Man.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_46.jams
robbie-williams_47,Robbie Williams,Let Love Be Your Energy,01,Sing When You're Winning,2000,../../partitions/robbie-williams/raw/chordlabs/2000-Sing When You're Winning/01-Let Love Be Your Energy.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_47.jams
robbie-williams_48,Robbie Williams,Love Calling Earth,08,Sing When You're Winning,2000,../../partitions/robbie-williams/raw/chordlabs/2000-Sing When You're Winning/08-Love Calling Earth.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_48.jams
robbie-williams_49,Robbie Williams,Kids,05,Sing When You're Winning,2000,../../partitions/robbie-williams/raw/chordlabs/2000-Sing When You're Winning/05-Kids.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_49.jams
robbie-williams_50,Robbie Williams,Karma Killer,09,I've Been Expecting You,1998,../../partitions/robbie-williams/raw/chordlabs/1998-I've Been Expecting You/09-Karma Killer.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_50.jams
robbie-williams_51,Robbie Williams,Man Machine,11,I've Been Expecting You,1998,../../partitions/robbie-williams/raw/chordlabs/1998-I've Been Expecting You/11-Man Machine.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_51.jams
robbie-williams_52,Robbie Williams,Grace,06,I've Been Expecting You,1998,../../partitions/robbie-williams/raw/chordlabs/1998-I've Been Expecting You/06-Grace.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_52.jams
robbie-williams_53,Robbie Williams,Phoenix From The Flames,04,I've Been Expecting You,1998,../../partitions/robbie-williams/raw/chordlabs/1998-I've Been Expecting You/04-Phoenix From The Flames.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_53.jams
robbie-williams_54,Robbie Williams,It's Only Us,07,I've Been Expecting You,1998,../../partitions/robbie-williams/raw/chordlabs/1998-I've Been Expecting You/07-It's Only Us.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_54.jams
robbie-williams_55,Robbie Williams,Heaven From Here,08,I've Been Expecting You,1998,../../partitions/robbie-williams/raw/chordlabs/1998-I've Been Expecting You/08-Heaven From Here.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_55.jams
robbie-williams_56,Robbie Williams,Strong,01,I've Been Expecting You,1998,../../partitions/robbie-williams/raw/chordlabs/1998-I've Been Expecting You/01-Strong.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_56.jams
robbie-williams_57,Robbie Williams,She's The One,10,I've Been Expecting You,1998,../../partitions/robbie-williams/raw/chordlabs/1998-I've Been Expecting You/10-She's The One.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_57.jams
robbie-williams_58,Robbie Williams,Win Some Lose Some,05,I've Been Expecting You,1998,../../partitions/robbie-williams/raw/chordlabs/1998-I've Been Expecting You/05-Win Some Lose Some.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_58.jams
robbie-williams_59,Robbie Williams,Millennium,03,I've Been Expecting You,1998,../../partitions/robbie-williams/raw/chordlabs/1998-I've Been Expecting You/03-Millennium.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_59.jams
robbie-williams_60,Robbie Williams,No Regrets,02,I've Been Expecting You,1998,../../partitions/robbie-williams/raw/chordlabs/1998-I've Been Expecting You/02-No Regrets.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_60.jams
robbie-williams_61,Robbie Williams,These Dreams,12,I've Been Expecting You,1998,../../partitions/robbie-williams/raw/chordlabs/1998-I've Been Expecting You/12-These Dreams.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_61.jams
