id,title,artist,metre,global_key
0788,Last Date,Floyd Cramer,4/4,C
0547,Almost by Being In Love,Michael Johnson,4/4,Eb
0775,Walking In Memphis,Marc Cohn,4/4,C
0123,Silent Night,Bing Crosby,3/4,Ab
1237,Something About You,Level 42,4/4,E
0781,On Broadway,The Drifters,4/4,F#
0920,Hot In The City,Billy Idol,4/4,C
0578,Giving You the Best That I Got,Anita Baker,4/4,A
1208,Even Now,Bob Seger,4/4,E
1002,Freeze-Frame,J. Geils Band,4/4,C
0124,Promises,Eric Clapton,4/4,G
0772,Press,Paul McCartney,4/4,C
0540,With You I'm Born Again,Billy Preston,3/4,D
0329,Smoking Gun,The Robert Cray Band,4/4,E
0927,"Out Of Sight, Out Of Mind",Little Anthony & The Imperials,4/4,Ab
0944,Starting Over Again,Dolly Parton,4/4,Bb
0711,Some Days Are Diamonds (Some Days Are Stone),John Denver,4/4,G
0147,Wheels,The String-A-Longs,4/4,F
1061,Best Of My Love,Eagles,4/4,C
1253,All Alone Am I,Brenda Lee,6/8,F
0381,Hocus Pocus,Focus,4/4,A
1059,I've Been Everywhere,Hank Snow,6/8,Db
0729,Pretty In Pink,Psychedelic Furs,4/4,D
0943,I Found A True Love,Wilson Pickett,4/4,C
0386,I Really Don't Want To Know,Elvis Presley,3/4,C
0988,If,Bread,4/4,A
1066,My Hometown,Bruce Springsteen,4/4,A
0372,Scarlet Fever,Kenny Rogers,4/4,D
0140,La Grange,ZZ Top,4/4,A
0524,Private Dancer,Tina Turner,4/4,G
0716,Lady (You Bring Me Up),Commodores,4/4,C
0981,Venus,Bananarama,4/4,E
0149,Just When I Needed You Most,Randy Vanwarmer,4/4,A
0182,Annie's Song,John Denver,3/4,D
0512,Going To A Go-Go,The Rolling Stones,4/4,E
0720,Rocky Mountain High,John Denver,4/4,E
1296,White Wedding,Billy Idol,4/4,B
0176,Chicago,25 or 6 to 4,4/4,A
0986,You Make Me Feel Like Dancing,Leo Sayer,4/4,E
1068,Never Can Say Goodbye,Gloria Gaynor,4/4,C
0343,If I Were Your Woman,Gladys Night & The Pips,4/4,F#
0727,Eight Days A Week,The Beatles,4/4,D
0515,Fool That I Am,Etta James,4/4,Db
0185,Just A Dream,Jimmy Clanton,12/8,G
1265,If I Were A Carpenter,Bobby Darin,4/4,D
0317,Dream Police,Cheap Trick,4/4,E
0773,I Want To Walk You Home,Fats Domino,12/8,Db
0787,The Ways Of A Woman In Love,Johnny Cash,4/4,Bb
1003,Baby Come Back,Player,4/4,Eb
0926,Perfidia,The Ventures,4/4,C
0780,Time Is On My Side,Rolling Stones,12/8,F
0546,Disco Inferno,The Trammps,4/4,C
0122,Have You Ever Loved Somebody,Freddie Jackson,4/4,E
0310,The Other Guy,Little River Band,4/4,F
0579,Heart Full of Soul,The Yardbirds,4/4,D
1032,Down And Out In New York City,James Brown,4/4,Db
1200,Echoes Of Love,The Doobie Brothers,4/4,A
0114,Sunshine of Your Love,Cream,4/4,D
0928,Mony Mony,Tommy James,4/4,A
0326,My Boy,Elvis Presley,4/4,D
0742,The Power,Snap,4/4,B
0570,Six Days On The Road,Dave Dudley,4/4,G
0789,Hey Baby,Bruce Channel,4/4,A
0319,I Want You,Marvin Gaye,4/4,C#
0917,A Love Song,Anne Murray,4/4,G
0577,Let's work Together,Canned Heat,4/4,G
0583,Amor,Ben E. King,4/4,Bb
0910,Time For Me To Fly,REO Speedwagon,4/4,D
0896,California Nights,Leslie Gore,4/4,C
1178,I Want You Back,The Jacksons,4/4,Ab
0608,Harden My Heart,Quarterflash,4/4,B
1147,A Cowboy's Work Is Never Done,Sonny & Cher,4/4,C
0095,Drivin' Wheel,Foghat,4/4,D
0253,Love Came To Me,Dion,4/4,G
0061,I Put A Spell On You,Creedence Clearwater Revival,12/8,E
0637,Human Nature,Michael Jackson,4/4,D
0865,Don't Talk To Strangers,Rick Springfield,4/4,E
0059,Is That All There Is,Peggy Lee,3/4,C
0891,Happy Jack,The Who,4/4,D
0402,Last Kiss,J. Frank Wilson & The Cavaliers,4/4,E
0066,Do You Love Me,The Contours,4/4,F
0254,Sanctify Yourself,Simple Minds,4/4,G
1140,Oh Father,Madonna,4/4,F
0092,Shock the Monkey,Peter Gabriel,4/4,D
0853,I Saw Her Standing There,The Beatles,4/4,E
1149,Going To Chicago Blues,Count Basie,4/4,Eb
0050,Love Me Do,Beatles,4/4,G
1182,My World Fell Down,Sagittarius,4/4,Ab
0606,I Love,Tom D Hall,4/4,E
0434,Where Or When,Dion,4/4,Ab
0898,I Can't Stand It,Eric Clapton,4/4,D
0296,Lyin' Eyes,Eagles,4/4,G
0068,Black Cars,Gino Vannelli,4/4,E
0291,The Way You Do The Things You Do,Rita Coolidge,4/4,E
1171,Night Moves,Bob Seger,4/4,Ab
0433,If I Could Reach You,The 5th Dimension,4/4,Bb
0601,I Can Help,Billy Swan,12/8,C
0265,(Last Night) I Didn't Get To Sleep At All,The 5th Dimension,4/4,Ab
1125,Treat Her Right,Roy Head,4/4,G
0655,Sunrise,Eric Carmen,4/4,Ab
0467,Little Bit O' Soul,The Music Explosion,4/4,F#
0003,I Don't mind,James Brown,6/8,C
0231,"Knowing Me, Knowing You",ABBA,4/4,D
0800,Magic Man,Heart,4/4,G
0458,Addicted to Love,Robert Palmer,4/4,A
0236,"Tonight, Tonight, Tonight",Genesis,4/4,D
0004,You've got a Friend,Roberta Flack and Donny Hathaway,4/4,Ab
0838,Surfin' Safari,The Beach Boys,4/4,A
0494,I Don't Need You,Kenny Rogers,4/4,Db
0807,You Took The Words Right Out Of My Mouth,Meat Loaf,4/4,G
0209,Already Gone,The Eagles,4/4,G
0699,Heartaches,Bachman-Turner Overdrive,4/4,E
0456,With a Little Luck,Paul McCartney,4/4,E
0664,Looking For A Love,The J. Geils Band,4/4,C
1114,Wichita Lineman,Glen Campbell,4/4,F
0690,Queen Of Hearts,Juice Newton,4/4,D
0831,Sexy Eyes,Dr. Hook,4/4,C
0469,In Your Soul,Corey Hart,4/4,A
1113,Lonely Weekends,Charlie Rich,4/4,F
0035,Jimi Hendrix,Freedom,4/4,C
0809,On The Wings Of A Nightingale,The Everly Brothers,4/4,A
0207,Back in the High Life Again,Steve Winwood,4/4,D
0663,He's so shy,Pointer Sisters,4/4,C
0451,Got It Made,Crosby Stills and Nash,4/4,C
0238,You Decorated My Life,Kenny Rogers,4/4,G
0600,"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")",Baltimora,4/4,F
0432,One Bad Apple,The Osmonds,4/4,C
0056,I Love You So,Bobbi Martin,4/4,Bb
0264,Dandelion,Rolling Stones,4/4,Bb
1170,Summertime Blues,Blue Cheer,4/4,C
0290,Long Dark Road,The Hollies,4/4,E
1148,I Don t Want Your Love,Duran Duran,4/4,D
0638,Out Of My Mind,Johnny Tillotson,4/4,G
0852,Bad Moon Rising,Creedence Clearwater Revival,4/4,D
0297,That's the Way I Feel About Cha,Bobby Womack,4/4,D
1177,Against The Wind,Bob Seger,4/4,G
0263,Last Kiss,Wednesday,4/4,E
0051,Carrie,Cliff Richard,4/4,D
1183,Private Dancer,Tina Turner,4/4,G
0607,Everlasting Love,Carl Carlton,4/4,A
0890,Let's Go Get Stoned,Ray Charles,4/4,Db
0864,Elvira,Oak Ridge Boys,4/4,C
1141,Talk Back Trembling Lips,Johnny Tillotson,4/4,A
0403,I Never Loved A Man,Aretha Franklin,3/4,F
0631,If You really love me,Stevie Wonder,4/4,F
0067,Bongo Stomp,Little Joey & The Flips,4/4,Eb
0863,Wheels,The String-A-Longs,4/4,F
0636,After the Lovin',Engelbert Humperdinck,6/8,C
0404,He's A Rebel,The Crystals,4/4,F
1146,"Abraham, Martin And John",Dion,4/4,E
0094,Wild Horses,Rolling Stones,4/4,G
0206,Maybe I'm Amazed,Paul McCartney,4/4,D
0034,Yvonne Elliman,If I Can't Have You,4/4,C
0450,Jessie's Girl,Rick Springfield,4/4,D
0662,Looking For A Love,The J. Geils Band,4/4,C
0696,Too Many Rivers,Brenda Lee,4/4,Bb
1112,Never Knew Love Like This Before,Stephanie Mills,4/4,B
0837,Sweet Love,Anita Baker,4/4,Bb
0239,Sail On Sailor,The Beach Boys,4/4,G
0691,Tell It Like It Is,The Neville Brothers,12/8,E
0457,Not Fade Away,Rolling Stones,4/4,E
0033,Crazy On You,Heart,4/4,A
0830,Trying To Live My Life Without You,Bob Seger & The Silver Bullet Band,4/4,D
0468,Ain't Too Proud To Beg,The Temptations,4/4,C
1123,Lonely Weekends,Charlie Rich,4/4,F
0839,When Will I Be Loved,Linda Ronstadt,4/4,E
0461,On Broadway,The Drifters,4/4,F#
0698,People Get Ready,Jeff Beck,4/4,D
0208,Another Rainy Day in New York City,Chicago,4/4,A
0806,We're All Alone,Rita Coolidge,4/4,G
0654,Tainted Love,Soft Cell,4/4,G
1124,Carry Me,"David Crosby,Graham Nash",4/4,E
0492,Don't stand so close to me,Police,4/4,Eb
0649,Stoned Love,The Supremes,4/4,D
0823,Lovely Day,Bill Withers,4/4,E
1139,Are You Sure Hank Done It This Way,Waylon Jennings,4/4,B
0212,It's Gonna Work Out Fine,Ike & Tina Turner,4/4,C
0444,I Really Don't Want To Know,Elvis Presley,3/4,C
0682,Brandy,Looking Glass,4/4,E
1106,Bust A Move,Young MC,4/4,E
0824,50 Ways To Leave Your Lover,Paul Simon,4/4,E
0018,Kiss On My List,Hall & Oates,4/4,C
1101,(I was) Born To Cry,Dion,4/4,A
0685,Silent Lucidity,Queensryche,4/4,G
0443,Better Things,The Kinks,4/4,D
0671,Heaven's Just A Sin Away,The Kendalls,4/4,F#
0215,Magic Man,Heart,4/4,G
0027,Rock 'n' Roll Fantasy,Bad Company,4/4,E
0678,Chained And Bound,Otis Redding,4/4,Bb
0812,Super Freak Part One,Rick James,4/4,A
0481,"Baby, Baby Don't Cry",The Miracles,4/4,F
0223,Wanna Be Startin' Somethin',Michael Jackson,4/4,D
0475,Daydream Believer,Anne Murray,4/4,Bb
0647,Caught Up In The Rapture,Anita Baker,4/4,D
0029,The Joker,Steve Miller Band,4/4,F
0640,Think,James Brown,4/4,Eb
0472,Sweet Music Man,Kenny Rogers,4/4,D
0016,She Bop,Cyndi Lauper,4/4,A
0224,Galveston,Glen Campbell,4/4,F
0426,I m Goin Down,Bruce Springsteen,4/4,A
0614,I want to take you higher,Sly And The Family Stone,4/4,A
0270,In My Room,The Beach Boys,4/4,B
1190,Only Sixteen,Dr. Hook,4/4,F
0284,These Boots Are Made For Walkin',Nancy Sinatra,4/4,F
1164,Ten Percent,Double Exposure,4/4,C
0841,Born To Be Wild,Steppenwolf,4/4,E
0419,Blow Away,George Harrison,4/4,D
0089,Fire And Ice,Pat Benetar,4/4,C
1163,My Love,Paul McCartney & Wings,4/4,F
1197,I Won't Stand In Your Way,Stray Cats,12/8,Eb
0879,Walk This Way,Run-D.M.C.,4/4,E
0421,Pinball Wizard,The Who,4/4,D
0248,I'd Love To Change The World,Ten Years After,4/4,E
0846,Dance Away,Roxy,4/4,Eb
1155,Running On Empty,Jackson Browne,4/4,A
0625,Higher Ground,Stevie Wonder,12/8,Eb
0417,"(You're So Square) Baby, I Don't Care",Joni Mitchell,4/4,G
0073,Crazy On You,Heart,4/4,A
0241,White Christmas,Bing Crosby,4/4,A
0884,One,Metallica,4/4,B
0870,And She Was,Talking Heads,4/4,E
0246,Rhinestone Cowboy,Glen Campbell,4/4,C
0074,Nowhere To Run,Martha Reeves & The Vandellas,4/4,Ab
0848,"Liar, Liar",The Castaways,4/4,C
0410,Jimmy's Girl,Johnny Tillotson,4/4,Db
1152,Love Came To Me,Dion,4/4,G
0279,Born To Be Alive,Patrick Hernandez,4/4,D
0814,Big Iron,Marty Robbins,4/4,E
0473,Come Together,The Beatles,4/4,D
0813,California Nights,Leslie Gore,4/4,C
1109,It Takes Two,Rob Base,4/4,G
0010,An Innocent Man,Billy Joel,4/4,C
0222,For Ol' Times Sake,Elvis Presley,4/4,Bb
0474,Silver Threads And Golden Needles,The Cowsills,4/4,F
0480,Give It To Me Baby,Rick James,4/4,G
1136,Get Together,The Youngbloods,4/4,A
0019,Here's Some Love,Tanya Tucker,4/4,Db
0670,Silent Lucidity,Queensryche,4/4,G
0442,World In My Eyes,Depeche Mode,4/4,Eb
0026,Swing Talkin' Guy,Chiffons,4/4,B
0214,The Right Time,Ray Charles,4/4,Eb
1100,If I Could Build My Whole World Around You,Marvin Gaye & Tammy Terrell,4/4,Db
0684,Feelin' Stronger Every Day,Chicago,4/4,F
1138,Torn Between Two Lovers,Mary MacGregor,4/4,Bb
0648,What Have I Done To Deserve This?,Pet Shop Boys,4/4,C
0822,I Cried A Tear,LaVern Baker,12/8,A
0683,That Girl,Stevie Wonder,4/4,Ab
1107,"Ob-La-Di, Ob-La-Da",The Beatles',4/4,Bb
0213,Comin' Home Baby,Mel Torme,4/4,G
0021,Just Can't Wait,The J. Geils Band,4/4,G
0445,Old Days,Chicago,4/4,C
0677,Don't Knock My Love - Pt. 1,Wilson Pickett,4/4,D
1153,The Sounds Of Silence,Simon & Garfunkel,4/4,Cb
0081,You Can Call Me Al,Paul Simon,4/4,F
0849,Do You Love Me,The Contours,4/4,F
0075,Drivin' Wheel,Foghat,4/4,D
0247,Last Kiss,J. Frank Wilson & The Cavaliers,4/4,E
0623,It's Only Make Believe,Glen Campbell,4/4,C
0882,Somebody s Watching Me,Rockwell,4/4,C#
0278,Waiting On A Friend,Rolling Stones,4/4,C
0240,Just The Way You Are,Billy Joel,4/4,D
0072,Get Together,The Youngbloods,4/4,A
1154,Think Of Me,Buck Owens,4/4,B
0086,Space Oddity,David Bowie,4/4,E
0429,Put Your Hand In The Hand,Ocean,4/4,E
0885,The Way You Do The Things You Do,UB40,4/4,Ab
0276,Patches,Clarence Carter,4/4,B
0044,Some Like It Hot,The Power Station,4/4,E
0282,Gotta Serve Somebody,Bob Dylan,4/4,A
1162,Cruisin',Smokey Robinson,4/4,E
0847,Sweet Surrender,Bread,4/4,A
0249,Old Time Rock & Roll,Bob Seger,4/4,F#
0615,Hot Child in the City,Nick Gilder,4/4,E
0427,Bluebirds Over The Mountain,The Beach Boys,4/4,A
0043,Two Hearts,Phil Collins,4/4,G
0271,Addicted to Love,Robert Palmer,4/4,A
0088,Buy For Me The Rain,Nitty Gritty Dirt Band,4/4,C
0418,Chain Of Fools,Aretha Franklin,4/4,C
0758,Come Monday,Jimmy Buffett,4/4,A
0932,Treat Her Like A Lady,Cornelius Brothers & Sister Rose,4/4,F#
0131,I wouldn't Have Missed it For The World,Ronnie Milsap,4/4,G
0303,Break It To Me Gently,Juice Newton,12/8,E
0767,The Night Chicago Died,Paper Lace,4/4,C
0555,Surrender,Cheap Trick,4/4,Bb
0793,My Way,Elvis Presley,4/4,C
1225,I've Got A Tiger By The Tail,Buck Owens,4/4,E
0599,Hey Stoopid,Alice Cooper,4/4,C
0109,Ma belle amie,The tee set,4/4,G
0935,Cry Like A Baby,The Box Tops,4/4,D
1222,Carrie,Cliff Richard,4/4,D
0794,Catch My Fall,Billy Idol,4/4,G
0552,Born To Be Alive,Patrick Hernandez,4/4,D
0304,The Humpty Dance,Digital Underground,4/4,Eb
1019,The Arms Of Orion,Prince & Sheena Easton,6/8,D
0769,All Through The Night,Cyndi Lauper,4/4,Ab
0903,Be My Baby,The Ronettes,4/4,E
0590,Talk to me,Chico DeBarge,4/4,Ab
0332,Waiting On A Friend,Rolling Stones,4/4,C
0100,Maggie May,Rod Stewart,4/4,D
0904,Till The End Of The Day,The Kinks,4/4,D
0751,I'd Love To Change The World,Ten Years After,4/4,E
0107,Sweet Home Alabama,Lynyrd Skynyrd,4/4,G
0335,Do You Love Me,The Contours,4/4,F
1021,Soul Dance Number 3,Wilson Pickett,4/4,E
1213,I Don't Want To Spoil The Party,The Beatles,4/4,G
0597,Time Is On My Side,Rolling Stones,12/8,F
0537,Indiana Wants Me,R Dean Tayloy,4/4,Ab
0705,Baby Don't Change Your Mind,Gladys Knight & The Pips,4/4,C
0361,This Song,George Harrison,4/4,E
0153,Walk Right Back,The Everly Brothers,4/4,Db
1247,20-75,Willie Mitchell,4/4,C
0395,Here Come Those Tears Again,Jackson Browne,4/4,Bb
0950,All I Ever Need Is You,Sonny & Cher,4/4,Bb
0508,For Ol' Times Sake,Elvis Presley,4/4,Bb
0198,Along Comes A Woman,Chicago,4/4,D
1072,Be My Guest,Fats Domino,4/4,Bb
1240,Alive Again,Chicago,4/4,Bb
0968,Coming On Strong,Brenda Lee,4/4,C
1086,Don't Leave Me This Way,Thelma Houston,4/4,C
0154,Lonely Eyes,Robert John,4/4,F
0366,Feelin' Stronger Every Day,Chicago,4/4,F
0530,This House,Tracie Spencer,4/4,F#
0359,Just Like Heaven,The Cure,4/4,A
0196,Love Me Warm And Tender,Paul Anka,4/4,D
1044,I've Passed This Way Before,Jimmy Ruffin,4/4,Bb
1276,Baby Don t Forget My Number,Milli Vanilli,4/4,Ab
0734,I Will,Dean Martin,4/4,D
0506,After the Lovin',Engelbert Humperdinck,6/8,C
0162,Sweet Nothin's,Brenda Lee,4/4,G
1282,Crackerbox Palace,George Harrison,4/4,Bb
1249,Rock'n Me,Steve Miller Band,4/4,B
0995,Gloria,Laura Branigan,4/4,A
0961,Take A Chance On Me,Abba,4/4,B
0539,Stop This Game,Cheap Trick,4/4,E
1285,Upside Down,Diana Ross,4/4,G
0501,Last Dance,Donna Summer,4/4,Eb
0733,Bird Dog,The Everly Brothers,4/4,B
1271,The Rose,Bette Midler,4/4,C
0191,People Got To Be Free,The Rascals,4/4,F
1043,Is There Something I Should Know,Duran Duran,4/4,D
0992,Nightshift,The Commodores,4/4,Ab
0905,Teach Your Children,"Crosby, Stills & Nash",4/4,D
0139,The Way You Do The Things You Do,UB40,4/4,Ab
1212,Baby Don't Go,Sonny & Cher,4/4,C
1020,Hey You! Get Off My Mountain,The Dramatics,4/4,D
0596,Letter Full of Tears,Gladys Knight & The Pips,4/4,E
0562,Fool That I Am,Etta James,4/4,Db
0334,Somebody s Watching Me,Rockwell,4/4,C#
0106,If,Bread,4/4,A
0768,That Girl,Stevie Wonder,4/4,Ab
0902,Honey Honey,ABBA,4/4,F
1018,In The Midnight Hour,Wilson Pickett,4/4,E
0101,A Lesson in Leavin,Dottie West,4/4,B
0757,World In My Eyes,Depeche Mode,4/4,Eb
0565,Judy,Elvis Presley,4/4,G
0591,The Long Run,Eagles,4/4,C
1027,Lucky,Greg Kihn,4/4,A
0598,Wish Someone Would Care,Irma Thomas,4/4,D
0761,Walk Right In,Dr. Hook,4/4,D
0553,Maniac,Michael Sembello,4/4,Eb
1011,I Drove All Night,Cyndi Lauper,4/4,Ab
1223,I'll Tumble 4 Ya,Culture Club,4/4,C
0795,I Want You,Marvin Gaye,4/4,C#
0759,Foggy Mountain Breakdown,Flatt & Scruggs,4/4,Ab
0933,Eleanor Rigby,Ray Charles,4/4,E
0792,Almost Grown,Chuck Berry,4/4,G
1016,Disco Inferno,The Trammps,4/4,C
0302,Do You Want To Know A Secret,The Beatles,4/4,E
0130,Tumbling Dice,The Rolling Stones,4/4,B
0554,Walk Right In,The Moments,4/4,A
0766,Ask Me,Elvis Presley,12/8,D
0190,Never Can Say Goodbye,Gloria Gaynor,4/4,C
1042,Oh Me Oh My (I'm A Fool For You Baby),Aretha Franklin,4/4,Bb
1270,Lambada,Kaoma,4/4,D
0958,Miss You,The Rolling Stones,4/4,A
0356,Dum Dum,Brenda Lee,4/4,Db
0500,The Battle Of New Orleans,Johnny Horton,4/4,A
0993,There Goes My Everything,Elvis Presley,3/4,Ab
0369,Kind Of A Drag,The Buckinghams,4/4,G
1089,Who Will You Run To,Heart,4/4,A
0967,Breezin',George Benson,4/4,D
0507,Still,Commodores,4/4,Db
0735,Getaway,Earth Wind and Fire,4/4,F
0351,Roll On Down The Highway,Bachman-Turner Overdrive,4/4,D
1283,Standing In The Shadows Of Love,Four Tops,4/4,Bb
1277,American Storm,Bob Seger,4/4,A
1045,Count On Me,Jefferson Starship,4/4,A
1248,That's Old Fashioned (That's The Way Love Should Be),The Everly Brothers,4/4,G
0367,Undercover Angel,Alan O'Day,4/4,Bb
1087,There But For Fortune,Joan Baez,4/4,Bb
0155,Forever Man,Eric Clapton,4/4,D
0969,Don't Ask Me Why,Billy Joel,4/4,Bb
0531,Running Up That Hill,Kate Bush,4/4,C
0393,Misunderstanding,Genesis,4/4,C
1073,Devil Woman,Cliff Richard,4/4,D
0956,Eye In The Sky,The Allan Parsons Project,4/4,B
0358,Superman,Donna Fargo,4/4,B
1246,Happy Man,Greg Kihn Band,4/4,G
0360,I Want To Take You Higher,Ike & Tina Turner,4/4,Ab
1279,Let The Music Play,Shannon,4/4,C
0199,Could I Have This Dance,Anne Murray,3/4,B
0116,Let It Rain,Eric Clapton,4/4,D
0324,When Will I Be Loved,Linda Ronstadt,4/4,E
0740,Living Doll,Cliff Richard,4/4,A
0572,"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")",Baltimora,4/4,F
0915,Sweet Caroline (Good Times Never Seemed So Good),Bobby Womack,4/4,E
1037,Town Without,Gene Pitney,12/8,B
0747,Baby Can I Hold You,Tracy Chapman,4/4,D
0323,Dream Police,Cheap Trick,4/4,E
0111,Eight Miles High,The Byrds,4/4,E
0785,Soul And Inspiration,The Righteous Brothers,4/4,A
0315,Come And Get Your Love,Redbone,4/4,D
0127,Stop the Wedding,Etta James,12/8,Bb
0543,If I Can Dream,Elvis Presley,12/8,C
0588,We Are The Champions,Queen,4/4,F
0776,Along Comes A Woman,Chicago,4/4,D
0120,Be My Baby,The Ronettes,4/4,E
0312,Daydream Believer,Anne Murray,4/4,Bb
1006,Three Hearts In A Tangle,Roy Drusky,3/4,Db
1234,Amanda,Boston,4/4,G
0782,Because I Love You,Stevie B,4/4,Db
0923,Judy,Elvis Presley,4/4,G
0749,Dyer Maker,Led Zepplin,4/4,C
1039,Girl I m Gonna Miss You,Milli Vanilli,4/4,A
1099,Where Are You,Dinah Washington,4/4,Eb
0510,How Blue Can You Get,B.B. King,4/4,D
0722,Where Are You,Dinah Washington,4/4,Eb
0346,Living It Down,Freddy Fender,4/4,C
0948,The Twist,Chubby Checker,4/4,E
1260,"Right Here, Right Now",Jesus Jones,4/4,D
1052,Another Brick In The Wall (Part II),Pink Floyd,4/4,D
0180,Gordon Lightfoot,Beautiful,4/4,B
1258,Lady,Kenny Rogers,4/4,Eb
0984,Hello Stranger,Barbara Lewis,4/4,C
0528,Crystal Blue Persuasion,Tommy James,4/4,A
0970,Modern Love,David Bowie,4/4,C
1055,My Wish Came True,Elvis Presley,4/4,D
0187,Help Is On The Way,Little River Band,4/4,B
1267,"Rock and Roll, Hoochie Koo",Rick Derringer,4/4,A
0341,Easy,The Commodores,4/4,Ab
0725,For The Good Times,Ray Price,4/4,Eb
0517,Years Ago,George Harrison,4/4,D
0348,The Best,Tina Turner,4/4,F
0946,I Second That Emotion,The Miracles,4/4,D
1063,This Little Girl,Dion,4/4,Bb
0383,Sunshine Superman,Donovan,4/4,Db
0713,Ko-Ko Joe,Jerry Reed,4/4,A
0521,The Humpty Dance,Digital Underground,4/4,Eb
0145,Runaround Sue,Dion,4/4,D
1097,After The Love Has Gone,"Earth, Wind & Fire",4/4,F
0979,Karma Chameleon,Culture Club,4/4,Bb
0377,I Can't Stand The Rain,Ann Peebles,4/4,Ab
0941,Like A Rock,Bob Seger,4/4,Ab
1269,Who Wears These Shoes,Elton John,4/4,B
0370,Kisses On The Wind,Neneh Cherry,4/4,D
0526,Love Comes Quickly,Pet Shop Boys,4/4,B
0384,If you love somebody set them free,Sting,4/4,D
1256,Abacab,Genesis,4/4,C
1064,Sad Eyes,Robert John,4/4,C
1235,For Ol' Times Sake,Elvis Presley,4/4,Bb
1007,Unchained Melody,The Righteous Brothers,12/8,C
0783,Hot Child in the City,Nick Gilder,4/4,E
0545,Redneck Friend,Jackson Browne,4/4,E
0777,Rescue Me,Fontella Bass,4/4,A
0748,Crying Time,Ray Charles,4/4,Ab
0126,Willie Nelson,Blue Eyes Cryin',4/4,E
0314,I Got You (I Feel Good),James Brown,4/4,D
0770,Hair,The Cowsills,4/4,C
0542,Wake Me Up Before You Go-Go,Wham!,4/4,C
1232,Heaven Must Have Sent You,Bonnie Pointer,4/4,C
0119,Stand By Me,"David Ruffin, Jimmy Ruffin",4/4,G
0925,The Best Disco In Town,The Ritchie Family,4/4,Ab
0589,Southern Cross,"Crosby, Stills & Nash",4/4,A
0746,That Old Black Magic,Louis Prima & Keely Smith,4/4,C
0574,Along Comes A Woman,Chicago,4/4,D
0322,Bird Dog,The Everly Brothers,4/4,B
1204,Heartbreaker,Pat Benatar,4/4,F
0580,I Found A Love,The Falcons,12/8,G
0913,Girl You Know It s True,Milli Vanilli,4/4,Bb
0779,A Very Special Love Song,Charlie Rich,4/4,C
1009,The Millionaire,Dr. Hook,4/4,Eb
0587,Unchained Melody,The Righteous Brothers,12/8,C
1203,Island Of Lost Souls,Blondie,4/4,D
1031,We Don t Need Another Hero (Thunderdome),Tina Turner,4/4,B
0325,Let Me Get To Know You,Paul Anka,4/4,E
0573,"Oh Me, Oh My (Dreams In My Arms)",Al Green,4/4,F
0741,Love Is A Battlefield,Pat Benatar,4/4,D
