id,title,track,performer,duration,tempo,file_path,jams_path
rwc-pop_19,Tokimeki no syunkan,04,Eri Ichikawa,250.0,134,../../partitions/rwc-pop/raw/N020-M02-T04.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_19.jams
rwc-pop_20,Feeling In My Heart,05,Rin,268.0,98,../../partitions/rwc-pop/raw/N021-M02-T05.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_20.jams
rwc-pop_21,Koi ni ochiru jikan ni kansuru kousatsu,06,Kazuo Nishi,209.0,135,../../partitions/rwc-pop/raw/N022-M02-T06.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_21.jams
rwc-pop_22,SHAKE,07,MAPS,201.0,132,../../partitions/rwc-pop/raw/N023-M02-T07.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_22.jams
rwc-pop_23,it's all right,08,Hisayoshi Kazato,240.0,130,../../partitions/rwc-pop/raw/N024-M02-T08.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_23.jams
rwc-pop_24,tell me,09,Tomomi Ogata,256.0,103,../../partitions/rwc-pop/raw/N025-M02-T09.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_24.jams
rwc-pop_25,aozora sanpo michi,10,Tomoko Nitta,207.0,158,../../partitions/rwc-pop/raw/N026-M02-T10.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_25.jams
rwc-pop_26,stay,11,Shingo Katsuta,318.0,124,../../partitions/rwc-pop/raw/N027-M02-T11.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_26.jams
rwc-pop_27,Fly away,12,Tomomi Ogata,250.0,109,../../partitions/rwc-pop/raw/N028-M02-T12.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_27.jams
rwc-pop_28,One Two STEP,13,Kazuo Nishi,215.0,103,../../partitions/rwc-pop/raw/N029-M02-T13.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_28.jams
rwc-pop_29,syounen no omoi,14,Mitsuru Tanimoto,196.0,104,../../partitions/rwc-pop/raw/N030-M02-T14.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_29.jams
rwc-pop_30,Moving Round and Round,15,Yuuichi Nagayama,250.0,129,../../partitions/rwc-pop/raw/N031-M02-T15.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_30.jams
rwc-pop_31,what could I do for you,16,Masaki Kuehara,252.0,125,../../partitions/rwc-pop/raw/N032-M02-T16.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_31.jams
rwc-pop_32,DREAM MAGIC,01,Hiromi Yoshii,287.0,108,../../partitions/rwc-pop/raw/N033-M03-T01.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_32.jams
rwc-pop_33,Hitoyo no yume,02,Hiromi Yoshii,207.0,93,../../partitions/rwc-pop/raw/N034-M03-T02.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_33.jams
rwc-pop_34,Midarana kami no moushigo,03,Hiromi Yoshii,193.0,170,../../partitions/rwc-pop/raw/N035-M03-T03.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_34.jams
rwc-pop_35,over and over,04,Kazuo Nishi,316.0,135,../../partitions/rwc-pop/raw/N036-M03-T04.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_35.jams
rwc-pop_36,Replica,05,Yoshinori Hatae,239.0,184,../../partitions/rwc-pop/raw/N037-M03-T05.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_36.jams
rwc-pop_37,1999,06,Kousuke Morimoto,275.0,125,../../partitions/rwc-pop/raw/N038-M03-T06.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_37.jams
rwc-pop_38,SPUL,07,Kousuke Morimoto,288.0,73,../../partitions/rwc-pop/raw/N039-M03-T07.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_38.jams
rwc-pop_39,promise,08,Kazuo Nishi,226.0,122,../../partitions/rwc-pop/raw/N040-M03-T08.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_39.jams
rwc-pop_40,Non Stop Driving,09,Katsuyuki Ozawa,170.0,200,../../partitions/rwc-pop/raw/N041-M03-T09.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_40.jams
rwc-pop_41,Fly to the moon,10,Kousuke Morimoto,248.0,125,../../partitions/rwc-pop/raw/N042-M03-T10.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_41.jams
rwc-pop_42,Centimeter no kodoku,11,Kazuo Nishi,204.0,163,../../partitions/rwc-pop/raw/N043-M03-T11.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_42.jams
rwc-pop_43,REAL na 5 hun,12,Kousuke Morimoto,246.0,124,../../partitions/rwc-pop/raw/N044-M03-T12.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_43.jams
rwc-pop_44,Hajimari,13,Kousuke Morimoto,222.0,77,../../partitions/rwc-pop/raw/N045-M03-T13.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_44.jams
rwc-pop_45,Senro wa tsuzukuyo,14,Kousuke Morimoto,199.0,168,../../partitions/rwc-pop/raw/N046-M03-T14.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_45.jams
rwc-pop_46,Deaetakara,15,Satoshi Kumasaka,210.0,94,../../partitions/rwc-pop/raw/N047-M03-T15.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_46.jams
rwc-pop_47,Syodoubutsu,16,Hiroshi Sekiya,269.0,86,../../partitions/rwc-pop/raw/N048-M03-T16.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_47.jams
rwc-pop_48,Sekai no mikata,01,Hiroshi Sekiya,275.0,100,../../partitions/rwc-pop/raw/N049-M04-T01.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_48.jams
rwc-pop_49,Mrs. Maril,02,Rin,195.0,114,../../partitions/rwc-pop/raw/N050-M04-T02.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_49.jams
rwc-pop_50,Modoranai natsu,03,Hiroshi Sekiya,367.0,104,../../partitions/rwc-pop/raw/N051-M04-T03.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_50.jams
rwc-pop_51,Haru ga kurukara,04,Tomomi Ogata,225.0,140,../../partitions/rwc-pop/raw/N052-M04-T04.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_51.jams
rwc-pop_52,Ashita wa,05,Rin,219.0,132,../../partitions/rwc-pop/raw/N053-M04-T05.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_52.jams
rwc-pop_53,Harukana omoi,06,Rin,222.0,125,../../partitions/rwc-pop/raw/N054-M04-T06.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_53.jams
rwc-pop_54,First Love,07,Akiko Kaburagi,249.0,74,../../partitions/rwc-pop/raw/N055-M04-T07.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_54.jams
rwc-pop_55,I've got a mail,08,Masashi Hashimoto,322.0,74,../../partitions/rwc-pop/raw/N056-M04-T08.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_55.jams
rwc-pop_56,Stay with me,09,Masashi Hashimoto,267.0,70,../../partitions/rwc-pop/raw/N057-M04-T09.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_56.jams
rwc-pop_57,Silver shoes,10,Rin,225.0,118,../../partitions/rwc-pop/raw/N058-M04-T10.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_57.jams
rwc-pop_58,Tenshi no utatane,11,Rin,205.0,98,../../partitions/rwc-pop/raw/N059-M04-T11.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_58.jams
rwc-pop_59,Kumorizora,12,Yuzu Iijima,243.0,148,../../partitions/rwc-pop/raw/N060-M04-T12.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_59.jams
rwc-pop_60,FOR YOU,13,Kazuo Nishi,283.0,121,../../partitions/rwc-pop/raw/N061-M04-T13.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_60.jams
rwc-pop_61,Be with me Now,14,Rin,191.0,81,../../partitions/rwc-pop/raw/N062-M04-T14.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_61.jams
rwc-pop_62,Power of mind,15,Reiko Sato,251.0,126,../../partitions/rwc-pop/raw/N063-M04-T15.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_62.jams
rwc-pop_63,So Long,16,Kousuke Morimoto,292.0,100,../../partitions/rwc-pop/raw/N064-M04-T16.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_63.jams
rwc-pop_64,Tanabata,01,Makiko Hattori,232.0,76,../../partitions/rwc-pop/raw/N065-M05-T01.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_64.jams
rwc-pop_65,Mousugu natsu ga kuru,02,M & Y,320.0,76,../../partitions/rwc-pop/raw/N066-M05-T02.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_65.jams
rwc-pop_66,Tokei no hayasa wa,03,Makiko Hattori,250.0,88,../../partitions/rwc-pop/raw/N067-M05-T03.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_66.jams
rwc-pop_67,Nichiyoubi,04,Makiko Hattori,294.0,92,../../partitions/rwc-pop/raw/N068-M05-T04.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_67.jams
rwc-pop_68,Gin no sora,05,Hiromi Yoshii,360.0,62,../../partitions/rwc-pop/raw/N069-M05-T05.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_68.jams
rwc-pop_69,Miageta sora wa,06,Tamako Matsuzaka,246.0,104,../../partitions/rwc-pop/raw/N070-M05-T06.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_69.jams
rwc-pop_70,Tsuki no youni,07,Hiromi Yoshii,286.0,70,../../partitions/rwc-pop/raw/N071-M05-T07.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_70.jams
rwc-pop_71,Heart to Hurt,08,Kousuke Morimoto,201.0,76,../../partitions/rwc-pop/raw/N072-M05-T08.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_71.jams
rwc-pop_72,Miss Maria,09,Kazuo Nishi,196.0,144,../../partitions/rwc-pop/raw/N073-M05-T09.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_72.jams
rwc-pop_73,Kimi no iro,10,Kousuke Morimoto,194.0,94,../../partitions/rwc-pop/raw/N074-M05-T10.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_73.jams
rwc-pop_74,Toui machi e,11,Hiromi Yoshii,201.0,108,../../partitions/rwc-pop/raw/N075-M05-T11.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_74.jams
rwc-pop_75,Chikai,12,Kousuke Morimoto,230.0,70,../../partitions/rwc-pop/raw/N076-M05-T12.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_75.jams
rwc-pop_76,Aishiteru,13,Makiko Hattori,236.0,120,../../partitions/rwc-pop/raw/N077-M05-T13.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_76.jams
rwc-pop_77,Kumo,14,Masaki Kuehara,261.0,75,../../partitions/rwc-pop/raw/N078-M05-T14.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_77.jams
rwc-pop_78,Together,15,Tomomi Ogata,268.0,92,../../partitions/rwc-pop/raw/N079-M05-T15.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_78.jams
rwc-pop_79,Sagashimono,16,Tomomi Ogata,219.0,80,../../partitions/rwc-pop/raw/N080-M05-T16.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_79.jams
rwc-pop_80,How Deep Is Your Love?,01,Donna Burke,230.0,90,../../partitions/rwc-pop/raw/N081-M06-T01.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_80.jams
rwc-pop_81,Once in a life time,02,Shinya Iguchi,337.0,88,../../partitions/rwc-pop/raw/N082-M06-T02.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_81.jams
rwc-pop_82,Doing That Thing,03,Jeff Manning,217.0,140,../../partitions/rwc-pop/raw/N083-M06-T03.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_82.jams
rwc-pop_83,Someday,04,Shinya Iguchi,280.0,138,../../partitions/rwc-pop/raw/N084-M06-T04.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_83.jams
rwc-pop_84,Waiting for the moment,05,Jeff Manning,210.0,98,../../partitions/rwc-pop/raw/N085-M06-T05.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_84.jams
rwc-pop_85,Angel Baby,06,Betty,257.0,80,../../partitions/rwc-pop/raw/N086-M06-T06.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_85.jams
rwc-pop_86,I think of you,07,Jeff Manning,291.0,90,../../partitions/rwc-pop/raw/N087-M06-T07.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_86.jams
rwc-pop_87,Woman Like You,08,Shinya Iguchi,249.0,120,../../partitions/rwc-pop/raw/N088-M06-T08.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_87.jams
rwc-pop_88,Life Is What You Make It To Be,09,Donna Burke,223.0,134,../../partitions/rwc-pop/raw/N089-M06-T09.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_88.jams
rwc-pop_89,Don't Say Good bye,10,Shinya Iguchi,277.0,127,../../partitions/rwc-pop/raw/N090-M06-T10.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_89.jams
rwc-pop_90,Change Of Heart,01,Donna Burke,223.0,124,../../partitions/rwc-pop/raw/N091-M07-T01.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_90.jams
rwc-pop_91,I'll be there for you,02,Betty,220.0,134,../../partitions/rwc-pop/raw/N092-M07-T02.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_91.jams
rwc-pop_92,Sweet Dreams,03,Donna Burke,258.0,90,../../partitions/rwc-pop/raw/N093-M07-T03.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_92.jams
rwc-pop_93,Life,04,Betty,223.0,78,../../partitions/rwc-pop/raw/N094-M07-T04.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_93.jams
rwc-pop_94,Feel,05,Jeff Manning,232.0,161,../../partitions/rwc-pop/raw/N095-M07-T05.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_94.jams
rwc-pop_95,Weekend,06,Betty,280.0,130,../../partitions/rwc-pop/raw/N096-M07-T06.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_95.jams
rwc-pop_96,Don't Lie To Me,07,Donna Burke,243.0,91,../../partitions/rwc-pop/raw/N097-M07-T07.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_96.jams
rwc-pop_97,31 BLUES,08,Jeff Manning,211.0,107,../../partitions/rwc-pop/raw/N098-M07-T08.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_97.jams
rwc-pop_98,Once and For All,09,Shinya Iguchi,317.0,73,../../partitions/rwc-pop/raw/N099-M07-T09.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_98.jams
rwc-pop_99,No Regrets,10,Shinya Iguchi,293.0,80,../../partitions/rwc-pop/raw/N100-M07-T10.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_99.jams
